Órgão superior,Órgão subordinado,Unidade administrativa,contract_no,Número do ICJ,Número do processo,Enquadramento do Processo,supplier,CNPJ/CPF,object,legal_basis,start,end,contract_value_raw,Saldo bruto do contrato,Saldo inativo,status,Número dos aditivos,service_line,currency,value
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600676543,5900.0125422.23.2,7004053453.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,"SERVIÇOS TÉCNICOS ESPECIALIZADOS DE TRATAMENTOS QUÍMICOS, ESTIMULAÇÃO E CORRELATOS, EM POÇOS DE PETRÓLEO, GÁS E OUTROS","Licitação, Lei 13.303, Art. 28, CAPUT",2023-10-31,2028-10-28,"R$ 50.931.170,22","R$ 47.332.217,68","R$ 0,00",Ativo,001,Stimulation,BRL,50931170.22
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600677387,5900.0125629.23.2,7003882540.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,DEVELOPMENT OF AN INNOVATIVE SOLUTION TO IDENTIFY THE PRESENCE OF ORGANIC DEP,"Licitação, Lei 13.303, Art. 28, CAPUT",2024-01-10,2025-04-08,"R$ 800.000,00","R$ 0,00","R$ 114.399,74",Concluído,001-999,Other,BRL,800000.0
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600677417,5900.0116942.20.2,7002853239.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,FORNECIMENTO DE PRODUTOS QUÍMICOS - EMBARCAÇÃO DO TIPO WSSV,"Licitação, Lei 13.303, Art. 28, CAPUT",2020-12-11,2024-09-05,"R$ 15.922.267,60","R$ 0,00","R$ 15.922.267,60",Cancelado,,Fluids & Chemicals,BRL,15922267.6
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600677418,5900.0116942.20.2,7002853239.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,FORNECIMENTO DE PRODUTOS QUÍMICOS - EMBARCAÇÃO DO TIPO WSSV,"Licitação, Lei 13.303, Art. 28, CAPUT",2020-12-11,2024-09-05,"US$ 3.788.568,79","US$ 0,00","US$ 3.788.568,79",Cancelado,,Fluids & Chemicals,USD,3788568.79
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600677464,5900.0126275.24.2,7004205811.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,SERVIÇOS DE GERENCIAMENTO DE PRESSÃO MPD,"Licitação, Lei 13.303, Art. 28, CAPUT",2024-01-19,2025-12-31,"R$ 40.876.185,48","R$ 0,00","R$ 705,61",Concluído,999,Other,BRL,40876185.48
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600678162,5900.0126699.24.2,7004130762.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,SERVIÇOS DE COMPLETAÇÃO UTILIZANDO DPR UMBILICAL LESS EM POÇOS PRODUTORES DE ÓLEO E GÁS E INJETORES DE ÁGUA E GÁS EM LDA DE 3000M,"Licitação, Lei 13.303, Art. 28, CAPUT",2024-03-13,2026-11-07,"R$ 19.590.171,64","R$ 17.372.416,38","R$ 0,00",Ativo,001,Other,BRL,19590171.64
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600679164,5900.0127108.24.2,7004034443.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,"SERVIÇOS DE WORKOVER, INTERVENÇÃO E ABANDONO DE POÇOS","Licitação, Lei 13.303, Art. 28, CAPUT",2024-06-05,2029-06-03,"R$ 2.688.678.002,64","R$ 2.294.862.559,63","R$ 0,00",Ativo,001,Other,BRL,2688678002.64
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600679167,5900.0127108.24.2,7004034443.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,"SERVIÇOS DE WORKOVER, INTERVENÇÃO E ABANDONO DE POÇOS","Licitação, Lei 13.303, Art. 28, CAPUT",2024-06-05,2029-06-03,"US$ 294.545.343,67","US$ 245.425.570,24","US$ 0,00",Ativo,001,Other,USD,294545343.67
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600679239,5900.0127632.24.2,7004250988.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,SERVIÇOS DE GERENCIAMENTO DE PRESSÃO  DE MPD (MANAGED PRESSURE DRILLING),"Licitação, Lei 13.303, Art. 28, CAPUT",2024-06-11,2028-03-06,"R$ 65.615.400,00","R$ 35.895.914,98","R$ 0,00",Ativo,,Other,BRL,65615400.0
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600679309,5900.0127694.24.2,7004250563.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,SERVIÇO DE DETECÇÃO MAGNÉTICA,"Licitação, Lei 13.303, Art. 28, CAPUT",2024-06-13,2027-06-12,"R$ 82.316.612,10","R$ 54.487.081,49","R$ 0,00",Ativo,,Other,BRL,82316612.1
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600679311,5900.0127694.24.2,7004250563.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,SERVIÇO DE DETECÇÃO MAGNÉTICA,"Licitação, Lei 13.303, Art. 28, CAPUT",2024-06-13,2027-06-12,"US$ 24.578.481,63","US$ 16.269.009,34","US$ 0,00",Ativo,,Other,USD,24578481.63
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600680249,5900.0128207.24.2,7004069836.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,SERVIÇOS DE FLEXITUBO,"Licitação, Lei 13.303, Art. 28, CAPUT",2024-08-26,2029-06-20,"R$ 45.727.005,14","R$ 34.149.404,81","R$ 0,00",Ativo,001,Other,BRL,45727005.14
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600680263,5900.0128208.24.2,7004069836.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,SERVIÇOS DE FLUIDOS,"Licitação, Lei 13.303, Art. 28, CAPUT",2024-08-26,2029-06-20,"R$ 24.462.860,86","R$ 18.312.179,50","R$ 0,00",Ativo,,Fluids & Chemicals,BRL,24462860.86
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600680427,5900.0128647.24.2,7004236083.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,BENS DE AVALIÇÃO DE FORMAÇÕES,"Licitação, Lei 13.303, Art. 28, CAPUT",2024-10-18,2027-04-20,"US$ 88.100,93","US$ 88.100,93","US$ 0,00",Ativo,,Formation Evaluation,USD,88100.93
