procdet,pv,tipo,geojson,procedencia,empresa_informante,tejas_match,tejas_found_in
USP-EOr-01,OESTE-EOr USP-EOr-01,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2167364481285,-37.9866202880958]}",PLANTA COMPRESORA,YPF S.A.,False,
ESTACIÃN COMPRESORA 1,OESTE-LLL-USP-1 Media VTO USP-1 Media,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.6218708830348,-38.4864797032756]}",YACIMIENTO,YPF S.A.,False,
ESTACIÃN COMPRESORA 2,OESTE-LLL-USP-2 Media VTO USP-2 Media,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.6374193662107,-38.4558531839772]}",YACIMIENTO,YPF S.A.,False,
BATERIA,OESTE-LLL-ZC- Octogono BAT OF-01,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2172615146072,-38.912274013335]}",YACIMIENTO,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato92,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.3013346046083,-37.3068336892233]}",PLANTA COMPRESORA,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato93,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.26642326722,-37.3107099587975]}",PLANTA COMPRESORA,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato94,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2690427288388,-37.2954715600644]}",PLANTA COMPRESORA,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato95,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2486635705673,-37.3090471564011]}",PLANTA COMPRESORA,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato96,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2482174537724,-37.3231837507295]}",PLANTA COMPRESORA,YPF S.A.,False,
LOMITA,Sin Dato109,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.1917266446689,-37.3312638904162]}",PLANTA COMPRESORA,YPF S.A.,False,
