anio,cuenca,concepto,cantidad_m3,indice_tiempo,mes,tejas_match,tejas_found_in
2015,CAÑADON ASFALTO,Producción convencional,0.0,2015-05,5,False,
2015,CAÑADON ASFALTO,Shale Oil,0.0,2015-05,5,False,
2015,CAÑADON ASFALTO,Tight_oil,0.0,2015-05,5,False,
2015,CUYANA,Producción convencional,135291.676,2015-05,5,False,
2015,CUYANA,Shale Oil,0.0,2015-05,5,False,
2015,CUYANA,Tight_oil,0.0,2015-05,5,False,
2015,DEL COLORADO,Producción convencional,0.0,2015-05,5,False,
2015,DEL COLORADO,Shale Oil,0.0,2015-05,5,False,
2015,DEL COLORADO,Tight_oil,0.0,2015-05,5,False,
2015,GOLFO SAN JORGE,Producción convencional,1299651.615,2015-05,5,False,
2015,GOLFO SAN JORGE,Shale Oil,26.88,2015-05,5,False,
2015,GOLFO SAN JORGE,Tight_oil,0.0,2015-05,5,False,
2015,LOS BOLSONES,Producción convencional,0.0,2015-05,5,False,
2015,LOS BOLSONES,Shale Oil,0.0,2015-05,5,False,
2015,LOS BOLSONES,Tight_oil,0.0,2015-05,5,False,
2015,MALVINAS,Producción convencional,0.0,2015-05,5,False,
2015,MALVINAS,Shale Oil,0.0,2015-05,5,False,
2015,MALVINAS,Tight_oil,0.0,2015-05,5,False,
2015,NEUQUINA,Producción convencional,931365.06217339,2015-05,5,False,
2015,NEUQUINA,Shale Oil,112378.801002,2015-05,5,False,
2015,NEUQUINA,Tight_oil,16990.866751,2015-05,5,False,
2015,ÑIRIHUAU,Producción convencional,0.0,2015-05,5,False,
2015,ÑIRIHUAU,Shale Oil,0.0,2015-05,5,False,
2015,ÑIRIHUAU,Tight_oil,0.0,2015-05,5,False,
2015,NORESTE,Producción convencional,0.0,2015-05,5,False,
2015,NORESTE,Shale Oil,0.0,2015-05,5,False,
2015,NORESTE,Tight_oil,0.0,2015-05,5,False,
2015,NOROESTE,Producción convencional,38984.289,2015-05,5,False,
2015,NOROESTE,Shale Oil,0.0,2015-05,5,False,
2015,NOROESTE,Tight_oil,0.0,2015-05,5,False,
2015,AUSTRAL,Producción convencional,101857.194601,2015-06,6,False,
2015,AUSTRAL,Shale Oil,0.0,2015-06,6,False,
2015,AUSTRAL,Tight_oil,154.958,2015-06,6,False,
2015,CAÑADON ASFALTO,Producción convencional,0.0,2015-06,6,False,
2015,CAÑADON ASFALTO,Shale Oil,0.0,2015-06,6,False,
2015,CAÑADON ASFALTO,Tight_oil,0.0,2015-06,6,False,
2015,CUYANA,Producción convencional,128981.515,2015-06,6,False,
2015,CUYANA,Shale Oil,0.0,2015-06,6,False,
2015,CUYANA,Tight_oil,0.0,2015-06,6,False,
2015,DEL COLORADO,Producción convencional,0.0,2015-06,6,False,
2015,DEL COLORADO,Shale Oil,0.0,2015-06,6,False,
2015,DEL COLORADO,Tight_oil,0.0,2015-06,6,False,
2015,GOLFO SAN JORGE,Producción convencional,1260039.379,2015-06,6,False,
2015,GOLFO SAN JORGE,Shale Oil,21.32,2015-06,6,False,
2015,GOLFO SAN JORGE,Tight_oil,0.0,2015-06,6,False,
2015,LOS BOLSONES,Producción convencional,0.0,2015-06,6,False,
2015,LOS BOLSONES,Shale Oil,0.0,2015-06,6,False,
2015,LOS BOLSONES,Tight_oil,0.0,2015-06,6,False,
2015,MALVINAS,Producción convencional,0.0,2015-06,6,False,
2015,MALVINAS,Shale Oil,0.0,2015-06,6,False,
2015,MALVINAS,Tight_oil,0.0,2015-06,6,False,
2015,NEUQUINA,Producción convencional,895164.06131111,2015-06,6,False,
2015,NEUQUINA,Shale Oil,105286.421741,2015-06,6,False,
2015,NEUQUINA,Tight_oil,15885.404392,2015-06,6,False,
2015,ÑIRIHUAU,Producción convencional,0.0,2015-06,6,False,
2015,ÑIRIHUAU,Shale Oil,0.0,2015-06,6,False,
2015,ÑIRIHUAU,Tight_oil,0.0,2015-06,6,False,
2015,NORESTE,Producción convencional,0.0,2015-06,6,False,
2015,NOROESTE,Producción convencional,37928.371,2015-06,6,False,
2015,NOROESTE,Shale Oil,0.0,2015-06,6,False,
2015,NOROESTE,Tight_oil,0.0,2015-06,6,False,
2015,AUSTRAL,Producción convencional,105833.923839,2015-07,7,False,
2015,AUSTRAL,Shale Oil,0.0,2015-07,7,False,
2015,AUSTRAL,Tight_oil,168.834,2015-07,7,False,
2015,CAÑADON ASFALTO,Producción convencional,0.0,2015-07,7,False,
2015,CAÑADON ASFALTO,Shale Oil,0.0,2015-07,7,False,
2015,CAÑADON ASFALTO,Tight_oil,0.0,2015-07,7,False,
2015,CUYANA,Producción convencional,134250.794,2015-07,7,False,
2015,CUYANA,Shale Oil,0.0,2015-07,7,False,
2015,CUYANA,Tight_oil,0.0,2015-07,7,False,
2015,DEL COLORADO,Producción convencional,0.0,2015-07,7,False,
2015,DEL COLORADO,Shale Oil,0.0,2015-07,7,False,
2015,DEL COLORADO,Tight_oil,0.0,2015-07,7,False,
2015,GOLFO SAN JORGE,Producción convencional,1302919.703,2015-07,7,False,
2015,GOLFO SAN JORGE,Shale Oil,16.07,2015-07,7,False,
