anio,cuenca,concepto,cantidad_mm3,indice_tiempo,mes,tejas_match,tejas_found_in
2015,MALVINAS,Producción convencional,0.0,2015-08,8,False,
2015,MALVINAS,Shale gas,0.0,2015-08,8,False,
2015,MALVINAS,Tight gas,0.0,2015-08,8,False,
2015,NEUQUINA,Producción convencional,1468938.63211499,2015-08,8,False,
2015,NEUQUINA,Shale gas,111805.801085,2015-08,8,False,
2015,NEUQUINA,Tight gas,549462.6378,2015-08,8,False,
2015,ÑIRIHUAU,Producción convencional,0.0,2015-08,8,False,
2015,ÑIRIHUAU,Shale gas,0.0,2015-08,8,False,
2015,ÑIRIHUAU,Tight gas,0.0,2015-08,8,False,
2015,NORESTE,Producción convencional,0.0,2015-08,8,False,
2015,NORESTE,Shale gas,0.0,2015-08,8,False,
2015,NORESTE,Tight gas,0.0,2015-08,8,False,
2015,NOROESTE,Producción convencional,245792.25,2015-08,8,False,
2015,NOROESTE,Shale gas,0.0,2015-08,8,False,
2015,NOROESTE,Tight gas,0.0,2015-08,8,False,
2015,AUSTRAL,Producción convencional,772919.945008723,2015-09,9,False,
2015,AUSTRAL,Shale gas,0.0,2015-09,9,False,
2015,AUSTRAL,Tight gas,3522.927,2015-09,9,False,
2015,CAÑADON ASFALTO,Producción convencional,0.0,2015-09,9,False,
2015,CAÑADON ASFALTO,Shale gas,0.0,2015-09,9,False,
2015,CAÑADON ASFALTO,Tight gas,0.0,2015-09,9,False,
2015,CUYANA,Producción convencional,4557.91659,2015-09,9,False,
2015,CUYANA,Shale gas,0.0,2015-09,9,False,
2015,CUYANA,Tight gas,0.0,2015-09,9,False,
2015,DEL COLORADO,Producción convencional,0.0,2015-09,9,False,
2015,DEL COLORADO,Shale gas,0.0,2015-09,9,False,
2015,DEL COLORADO,Tight gas,0.0,2015-09,9,False,
2015,GOLFO SAN JORGE,Producción convencional,484084.303386788,2015-09,9,False,
2015,GOLFO SAN JORGE,Shale gas,356.48,2015-09,9,False,
2015,GOLFO SAN JORGE,Tight gas,0.0,2015-09,9,False,
2015,LOS BOLSONES,Producción convencional,0.0,2015-09,9,False,
2015,LOS BOLSONES,Shale gas,0.0,2015-09,9,False,
2015,LOS BOLSONES,Tight gas,0.0,2015-09,9,False,
2015,MALVINAS,Producción convencional,0.0,2015-09,9,False,
2015,MALVINAS,Shale gas,0.0,2015-09,9,False,
2015,MALVINAS,Tight gas,0.0,2015-09,9,False,
2015,NEUQUINA,Producción convencional,1398258.156994059,2015-09,9,False,
2015,NEUQUINA,Shale gas,106370.71471,2015-09,9,False,
2015,NEUQUINA,Tight gas,535445.94374,2015-09,9,False,
2015,ÑIRIHUAU,Producción convencional,0.0,2015-09,9,False,
2015,ÑIRIHUAU,Shale gas,0.0,2015-09,9,False,
2015,ÑIRIHUAU,Tight gas,0.0,2015-09,9,False,
2015,NORESTE,Producción convencional,0.0,2015-09,9,False,
2015,NORESTE,Shale gas,0.0,2015-09,9,False,
2015,NORESTE,Tight gas,0.0,2015-09,9,False,
