anio,empresa,provincia,areayacimiento,idareayacimiento,cuenca,indice_tiempo,mes,produccion_gas_promedio_dia_mm3,areapermisoconcesion,idareapermisoconcesion,tejas_match,tejas_found_in
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,LA ANGOSTURA,LANR,GOLFO SAN JORGE,2009-10,10,0.0,CERRO TORTUGA - LAS FLORES,CTO,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,LAS FLORES,LFLO,GOLFO SAN JORGE,2009-10,10,10.8065,CERRO TORTUGA - LAS FLORES,CTO,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,RIO CHICO,RCHI,GOLFO SAN JORGE,2009-10,10,20.9677,CERRO TORTUGA - LAS FLORES,CTO,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,YUNCO,YNCO,GOLFO SAN JORGE,2009-10,10,0.6774,CERRO TORTUGA - LAS FLORES,CTO,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,ANTICLINAL GRANDE,ATGR,GOLFO SAN JORGE,2009-10,10,2.0968,CHULENGO,CHU,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,CHULENGO,CHUL,GOLFO SAN JORGE,2009-10,10,0.0,CHULENGO,CHU,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,EL PATACON,ELPT,GOLFO SAN JORGE,2009-10,10,2.7097,CHULENGO,CHU,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,ENRIQUE HERMITE,ENHR,GOLFO SAN JORGE,2009-10,10,0.0,CHULENGO,CHU,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,VALLE MARTIN,MART,GOLFO SAN JORGE,2009-10,10,5.1935,CHULENGO,CHU,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Santa Cruz,KOLUEL KAIKE,KOL,GOLFO SAN JORGE,2009-10,10,87.4194,KOLUEL KAIKE - EL VALLE,KOL,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Neuquén,LINDERO ATRAVESADO OCCIDENTAL,LAOC,NEUQUINA,2009-10,10,649.9948,LINDERO ATRAVESADO,LAT,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Neuquén,LINDERO ATRAVESADO ORIENTAL,LAOR,NEUQUINA,2009-10,10,165.5026,LINDERO ATRAVESADO,LAT,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Santa Cruz,PIEDRA CLAVADA,PCL,GOLFO SAN JORGE,2009-10,10,6.7097,PIEDRA CLAVADA,PCL,False,
2009,PETRO ANDINA RESOURCES LTD.,La Pampa,EL CORCOBO NORTE,ECNR,NEUQUINA,2009-10,10,12.329,CNQ 7/A,PUPI,False,
2009,PETRO ANDINA RESOURCES LTD.,La Pampa,PUESTO PINTO,PPTO,NEUQUINA,2009-10,10,6.7142,CNQ 7/A,PUPI,False,
2009,PETRO ANDINA RESOURCES LTD.,La Pampa,EL RENEGADO,RENE,NEUQUINA,2009-10,10,3.9287,EL RENEGADO,RENE,False,
2009,PETRO ANDINA RESOURCES LTD.,Mendoza,CERRO HUANUL,CRRH,NEUQUINA,2009-10,10,3.3565,JAGÜEL CASA DE PIEDRA,JCPA,False,
2009,PETRO ANDINA RESOURCES LTD.,Mendoza,EL CORCOBO NORTE,ECCN,NEUQUINA,2009-10,10,108.1984,JAGÜEL CASA DE PIEDRA,JCPA,False,
2009,PETRO ANDINA RESOURCES LTD.,Mendoza,JAGÜEL CASA DE PIEDRA,JGCP,NEUQUINA,2009-10,10,8.9848,JAGÜEL CASA DE PIEDRA,JCPA,False,
2009,PETROBRAS ARGENTINA S.A.,La Pampa,25 DE MAYO - MEDANITO SUDESTE,VEI,NEUQUINA,2009-10,10,540.3816,25 DE MAYO - MEDANITO SUD ESTE ,VEI,False,
2009,PETROBRAS ARGENTINA S.A.,Rio Negro,25 DE MAYO - MEDANITO SUDESTE,VEI,NEUQUINA,2009-10,10,101.8839,25 DE MAYO - MEDANITO SUD ESTE ,VEI,False,
2009,PETROBRAS ARGENTINA S.A.,Neuquén,AGUADA DE LA ARENA,AGA,NEUQUINA,2009-10,10,898.321,AGUADA DE LA ARENA,AGA,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,AN-AIKE,AKE,AUSTRAL,2009-10,10,0.0,AN-AIKE,AKE,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,BARDA LAS VEGAS,BALV,AUSTRAL,2009-10,10,0.0,AN-AIKE,AKE,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,BAJADA FORTALEZA,BFO,AUSTRAL,2009-10,10,0.2116,BAJADA FORTALEZA,BFO,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,AN-AIKE,AAIK,AUSTRAL,2009-10,10,0.0,BARDA LAS VEGAS,BLV,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,BARDA LAS VEGAS,BLV,AUSTRAL,2009-10,10,67.5555,BARDA LAS VEGAS,BLV,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,BARDA LAS VEGAS SUR,BSUR,AUSTRAL,2009-10,10,0.0,BARDA LAS VEGAS,BLV,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,CAMPO BOLEADORAS,CBO,AUSTRAL,2009-10,10,308.7097,CAMPO BOLEADORAS,CBO,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,CAMPO BOLEADORAS OESTE,CBOT,AUSTRAL,2009-10,10,0.0,CAMPO BOLEADORAS,CBO,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,CAMPO INDIO,CIND,AUSTRAL,2009-10,10,0.0,CAMPO BOLEADORAS,CBO,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,CAMPO INDIO,CIN,AUSTRAL,2009-10,10,1152.6065,CAMPO INDIO,CIN,False,
