COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,,
PRODUCCION POR CONTRATO,,,,,,,,,,
Producción mensual por contrato y operador,,,,,,,,,,
Datos a enero - 2025.,,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd).,,,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,,
Para información geográfica de los contratos visite https://mapa.hidrocarburos.gob.mx,,,,,,,,,,
,,,,,,,,,,
FECHA,CONTRATO,OPERADOR,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOC_MMPCD,GAS_NASOC_MMPCD,N2_MMPCD,AGUA_MBD
08/2016,CNH-R01-L03-A20/2016,GS OIL & GAS,0.0,0.0,0.0,0.847713161,0.0,0.847713161,0.00161,0.003936734
08/2016,CNH-R01-L03-A21/2016,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,0.607608337,0.0,0.607608337,0.002126,0.001738532
08/2016,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.285108939,0.285108939,0.0,0.474680866,0.474680866,0.0,0.012251,0.0062898
08/2016,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,3.446509566,0.0,3.446509566,0.005169,0.009947595
08/2016,CNH-R01-L03-A5/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,1.926795941,0.0,1.926795941,0.005202,0.017121495
08/2016,CNH-R01-L03-A6/2015,DIAVAZ OFFSHORE,0.006664538,0.006664538,0.0,0.310320793,0.310320793,0.0,0.010023,0.019680987
08/2016,CNH-R01-L03-A7/2015,SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO,0.54403397,0.54403397,0.0,1.113273041,1.113273041,0.0,0.012813,0.200867806
08/2016,CNH-R01-L03-A8/2015,DUNAS EXPLORACIÓN Y PRODUCCIÓN,0.0,0.0,0.0,1.495736126,0.0,1.495736126,0.002393,0.000872747
09/2016,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.233477439,0.233477439,0.0,1.661535313,1.661535313,0.0,0.060994,1.4089152
09/2016,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,2.859408541,0.0,2.859408541,0.004003,0.003517228
09/2016,CNH-R01-L03-A15/2015,RENAISSANCE OIL CORP,0.225295615,0.225295615,0.0,2.991340203,2.991340203,0.0,0.092701,1.11874576
09/2016,CNH-R01-L03-A18/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,3.143522672,0.0,3.143522672,0.028606,0.01375271
09/2016,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,11.358017472,0.0,11.358017472,0.037411,0.050159716
09/2016,CNH-R01-L03-A20/2016,GS OIL & GAS,0.0,0.0,0.0,2.75759804,0.0,2.75759804,0.005239,0.013422171
09/2016,CNH-R01-L03-A21/2016,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,1.915070355,0.0,1.915070355,0.006702,0.005541372
09/2016,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.226496472,0.226496472,0.0,1.058249551,1.058249551,0.0,0.027313,0.0073381
09/2016,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,3.039192994,0.0,3.039192994,0.004558,0.008347292
09/2016,CNH-R01-L03-A5/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,1.705609915,0.0,1.705609915,0.004605,0.016180035
09/2016,CNH-R01-L03-A7/2015,SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO,0.710701233,0.710701233,0.0,1.077113825,1.077113825,0.0,0.012397,0.461042344
09/2016,CNH-R01-L03-A8/2015,DUNAS EXPLORACIÓN Y PRODUCCIÓN,0.0,0.0,0.0,1.23998628,0.0,1.23998628,0.001983,0.000569048
10/2016,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.245739705,0.245739705,0.0,1.111011267,1.111011267,0.0,0.040785,1.439146819
10/2016,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,3.038810197,0.0,3.038810197,0.004254,0.003844218
10/2016,CNH-R01-L03-A15/2015,RENAISSANCE OIL CORP,0.24507438,0.24507438,0.0,3.089746244,3.089746244,0.0,0.07851,0.862717083
10/2016,CNH-R01-L03-A18/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,3.040910416,0.0,3.040910416,0.027672,0.014141271
10/2016,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,10.432277142,0.0,10.432277142,0.034695,0.041786906
10/2016,CNH-R01-L03-A20/2016,GS OIL & GAS,0.0,0.0,0.0,2.123959592,0.0,2.123959592,0.004035,0.010804335
10/2016,CNH-R01-L03-A21/2016,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,1.432627467,0.0,1.432627467,0.005014,0.004339048
10/2016,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.179746218,0.179746218,0.0,0.913921942,0.913921942,0.0,0.016861,0.033072174
10/2016,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,3.012154696,0.0,3.012154696,0.004518,0.007999703
10/2016,CNH-R01-L03-A5/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,1.46367301,0.0,1.46367301,0.003951,0.014420904
10/2016,CNH-R01-L03-A7/2015,SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO,0.732188862,0.732188862,0.0,1.079615688,1.079615688,0.0,0.010594,0.478836392
10/2016,CNH-R01-L03-A8/2015,DUNAS EXPLORACIÓN Y PRODUCCIÓN,0.0,0.0,0.0,1.105894227,0.0,1.105894227,0.001769,0.000506209
11/2016,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.244320379,0.244320379,0.0,1.203742808,1.203742808,0.0,0.044189,1.45126652
11/2016,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,3.613479804,0.0,3.613479804,0.005058,0.004606538
11/2016,CNH-R01-L03-A15/2015,RENAISSANCE OIL CORP,0.215500974,0.215500974,0.0,3.848698927,3.848698927,0.0,0.15872,0.70739284
11/2016,CNH-R01-L03-A18/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,2.935848727,0.0,2.935848727,0.026715,0.017641146
11/2016,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,10.460253359,0.0,10.460253359,0.035057,0.042510808
11/2016,CNH-R01-L03-A20/2016,GS OIL & GAS,0.0,0.0,0.0,2.169360108,0.0,2.169360108,0.004121,0.014614304
11/2016,CNH-R01-L03-A21/2016,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,1.291617258,0.0,1.291617258,0.00452,0.004061217
11/2016,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.1913966,0.1913966,0.0,1.044067727,1.044067727,0.0,0.019263,0.02453022
11/2016,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,2.551567996,0.0,2.551567996,0.003827,0.006745381
11/2016,CNH-R01-L03-A5/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,1.462098257,0.0,1.462098257,0.003947,0.014868056
11/2016,CNH-R01-L03-A7/2015,SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO,0.731299459,0.731299459,0.0,1.078157203,1.078157203,0.0,0.010579,0.479995598
11/2016,CNH-R01-L03-A8/2015,DUNAS EXPLORACIÓN Y PRODUCCIÓN,0.0,0.0,0.0,1.035969955,0.0,1.035969955,0.001657,0.00048498
12/2016,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.226148007,0.226148007,0.0,1.564219055,1.564219055,0.0,0.057422,1.471204509
12/2016,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,3.067564796,0.0,3.067564796,0.004294,0.003962227
12/2016,CNH-R01-L03-A15/2015,RENAISSANCE OIL CORP,0.182682746,0.182682746,0.0,3.781906128,3.781906128,0.0,0.233721,0.728602316
12/2016,CNH-R01-L03-A18/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,3.049900294,0.0,3.049900294,0.027539,0.018439385
12/2016,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,11.232278762,0.0,11.232278762,0.037623,0.049074959
12/2016,CNH-R01-L03-A20/2016,GS OIL & GAS,0.0,0.0,0.0,2.285325283,0.0,2.285325283,0.004342,0.010214583
12/2016,CNH-R01-L03-A21/2016,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,1.681497788,0.0,1.681497788,0.005885,0.005268732
12/2016,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.18178498,0.18178498,0.0,0.795388571,0.795388571,0.0,0.014674,0.037333006
12/2016,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,3.065903245,0.0,3.065903245,0.004598,0.008687761
12/2016,CNH-R01-L03-A5/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,1.490009888,0.0,1.490009888,0.004023,0.014604168
12/2016,CNH-R01-L03-A7/2015,SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO,0.631020125,0.631020125,0.0,1.036422085,1.036422085,0.0,0.01017,0.291305634
12/2016,CNH-R01-L03-A8/2015,DUNAS EXPLORACIÓN Y PRODUCCIÓN,0.0,0.0,0.0,1.168515976,0.0,1.168515976,0.001869,0.000526632
01/2017,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.225541712,0.225541712,0.0,1.4813957,1.4813957,0.0,0.054382,1.4718132
01/2017,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,2.835538859,0.0,2.835538859,0.003969,0.003578698
01/2017,CNH-R01-L03-A15/2015,RENAISSANCE OIL CORP,0.17615224,0.17615224,0.0,3.801603282,3.801603282,0.0,0.234939,0.658400032
01/2017,CNH-R01-L03-A18/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,3.09896374,0.0,3.09896374,0.027962,0.018070941
01/2017,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,11.000023954,0.0,11.000023954,0.037722,0.043479265
01/2017,CNH-R01-L03-A20/2016,GS OIL & GAS,0.0,0.0,0.0,2.439220163,0.0,2.439220163,0.004634,0.010640809
01/2017,CNH-R01-L03-A21/2016,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,2.300002133,0.0,2.300002133,0.00805,0.006499851
01/2017,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.196950579,0.196950579,0.0,0.954141295,0.954141295,0.0,0.017603,0.032260587
01/2017,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,3.524455507,0.0,3.524455507,0.005286,0.009656872
01/2017,CNH-R01-L03-A5/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,1.485946324,0.0,1.485946324,0.004012,0.014155027
01/2017,CNH-R01-L03-A7/2015,SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO,0.608935304,0.608935304,0.0,1.078504995,1.078504995,0.0,0.010583,0.534024309
01/2017,CNH-R01-L03-A8/2015,DUNAS EXPLORACIÓN Y PRODUCCIÓN,0.0,0.0,0.0,1.275079643,0.0,1.275079643,0.00204,0.00051807
02/2017,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.22552873,0.22552873,0.0,1.25321459,1.25321459,0.0,0.045391,1.4718132
02/2017,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,2.801351763,0.0,2.801351763,0.002521,0.003437835
02/2017,CNH-R01-L03-A15/2015,RENAISSANCE OIL CORP,0.188781774,0.188781774,0.0,3.889732572,3.889732572,0.0,0.175893,0.683566478
02/2017,CNH-R01-L03-A18/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,2.976728689,0.0,2.976728689,0.057426,0.015400184
