Órgão superior;Órgão subordinado;Unidade administrativa;Número do contrato;Número do ICJ;Número do processo;Enquadramento do Processo;Fornecedor;CNPJ/CPF;Objeto da contratação;Fundamento legal;Início da vigência;Fim da vigência;Valor do contrato;Saldo bruto do contrato;Saldo inativo;Situação;Número dos aditivos
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600583493;5900.0110689.19.2;7001989063;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;FORNECIMENTO DE PRODUTOS QUÍMICOS (SERVIÇOS DE FLUIDOS);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;14/07/2019;12/07/2022;R$ 6.093.295,85;R$ 0,00;R$ 6.093.295,85;Concluído;002-003-004-005-006-008-007-009-010-011
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600583494;5900.0110689.19.2;7001989063;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;FORNECIMENTO DE PRODUTOS QUÍMICOS (SERVIÇOS DE FLUIDOS);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;14/07/2019;12/07/2022;R$ 25.490.531,07;R$ 0,00;R$ 9.317.442,51;Concluído;002-003-004-005-006-008-007-009-010-011
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600583495;5900.0110689.19.2;7001989063;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;FORNECIMENTO DE PRODUTOS QUÍMICOS (SERVIÇOS DE FLUIDOS);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;14/07/2019;12/07/2022;R$ 9.610.277,75;R$ 0,00;R$ 6.996.043,91;Concluído;002-004-003-005-007-008-006-009-010-001
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600583497;5900.0110689.19.2;7001989063;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;FORNECIMENTO DE PRODUTOS QUÍMICOS (SERVIÇOS DE FLUIDOS);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;14/07/2019;12/07/2022;US$ 21.234.868,27;US$ 0,00;US$ 2.908.206,59;Concluído;002-008-007-003-006-005-004-009-010-011
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600583498;5900.0110689.19.2;7001989063;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;FORNECIMENTO DE PRODUTOS QUÍMICOS (SERVIÇOS DE FLUIDOS);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;14/07/2019;12/07/2022;US$ 962.502,85;US$ 0,00;US$ 754.365,52;Concluído;002-003-004-005-006-007-008-009-010-011
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600583503;5900.0110689.19.2;7001989063;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;FORNECIMENTO DE PRODUTOS QUÍMICOS (SERVIÇOS DE FLUIDOS);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;14/07/2019;12/07/2022;US$ 914.623,45;US$ 0,00;US$ 914.623,45;Concluído;002-003-004-005-006-007-008-009-010-011
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600584635;5100.0111263.19.2;7002302861;INEXIGIBIL;HALLIBURTON PRODUTOS LTDA.;16328932000106;SERVIÇOS DE SUPORTE TÉCNICO ESPECIALIZADO PARA CUSTOMIZAÇÃO E UTILIZAÇÃO DOS PRODUTOS SOFTWARES DA HALLIBURTON;Inexigibilidade, Lei 13.303, Art.30, CAPUT - Inviabilidade de competição;30/05/2019;27/05/2024;R$ 65.413.976,30;R$ 0,00;R$ 159.741,38;Concluído;850-001-002-004
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600585792;5100.0111448.19.2;7001823120;INEXIGIBIL;HALLIBURTON PRODUTOS LTDA.;16328932000106;SERVIÇOS ESPECIALIZADOS DE DETECÇÃO E DETERMINAÇÃO DO POSICIONAMENTO EM SUBSUPERFÍCIE DE POÇOS;Inexigibilidade, Dec 2745, 2.3, CAPUT - Inviabilidade fática ou jurídica de competição.;10/07/2019;19/07/2024;US$ 13.276.678,30;US$ 0,00;US$ 8.517.655,42;Concluído;001-002-004-003-005-999
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600585918;5900.0110689.19.2;7001989063;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;FORNECIMENTO DE PRODUTOS QUÍMICOS (SERVIÇOS DE FLUIDOS);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;14/07/2019;12/07/2022;US$ 794.626,07;US$ 0,00;US$ 794.626,07;Concluído;002-004-005-006-007-008-003-009-010-011
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600585919;5900.0110689.19.2;7001989063;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;FORNECIMENTO DE PRODUTOS QUÍMICOS (SERVIÇOS DE FLUIDOS);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;14/07/2019;12/07/2022;US$ 766.641,15;US$ 0,00;US$ 766.641,15;Concluído;003-004-005-008-007-006-009-010-011
