COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,
PRODUCCION POR ENTIDAD FEDERATIVA,,,,,,,,,
"Datos de producción mensual de aceite, gas, condensado y agua por entidad federativa.",,,,,,,,,
Datos a enero - 2025.,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd),,,,,,,,,
Este reporte se emite con fines ilustrativos y no puede considerarse como información oficial para la determinación del monto de participaciones en los ingresos petroleros que corresponden a los estados.,,,,,,,,,
"A partir de 2016 se contabiliza la producción de petróleo a una temperatura de 15.56 grados Celsius, de conformidad con lo establecido en los Lineamientos Técnicos en Materia de Medición de Hidrocarburos.",,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,
Las cifras están sujetas a revisión.,,,,,,,,,
,,,,,,,,,
FECHA,ENTIDAD_FEDERATIVA,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOC_MMPCD,GAS_NASOC_MMPCD,N2_MMPCD,AGUA_MBD
09/2000,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,12.64874,0.0,12.64874,,0.72636
09/2000,NUEVO LEÓN,0.6038199999999999,0.0,0.6038199999999999,448.21311000000003,0.0,448.21311000000003,,6.28588
09/2000,PUEBLA,2.70925,2.70925,0.0,7.95371,7.95371,0.0,,0.28543
09/2000,SAN LUIS POTOSÍ,0.63886,0.63886,0.0,0.74541,0.74541,0.0,,0.19927
09/2000,TABASCO,478.2093,477.2725,0.9368000000000001,1201.59903,1056.22108,145.37793,,51.87925
09/2000,TAMAULIPAS,23.39366,21.7332,1.66046,576.36297,35.06819,541.2947800000001,,29.69747
09/2000,VERACRUZ DE IGNACIO DE LA LLAVE,65.08755,63.83066,1.25689,223.33747,79.68232,143.65515,,60.1353
10/2000,CAMPECHE,2249.73059,2249.73059,0.0,1430.28856,1430.28856,0.0,,23.59974
10/2000,CHIAPAS,48.38557,48.38557,0.0,614.23767,614.23767,0.0,,16.953219999999998
10/2000,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,11.81583,0.0,11.81583,,0.6534
10/2000,NUEVO LEÓN,0.56814,0.0,0.56814,459.26939,0.0,459.26939,,5.82005
10/2000,PUEBLA,2.64522,2.64522,0.0,8.21134,8.21134,0.0,,0.28015999999999996
10/2000,SAN LUIS POTOSÍ,0.68563,0.68563,0.0,0.48004,0.48004,0.0,,0.18525
10/2000,TABASCO,474.33859,473.46546,0.87313,1184.6035,1040.61678,143.98671000000002,,50.71484
10/2000,TAMAULIPAS,23.32468,21.80469,1.51999,573.00392,35.02678,537.97714,,28.66546
10/2000,VERACRUZ DE IGNACIO DE LA LLAVE,63.436370000000004,62.15905,1.27732,232.09812,79.69565,152.40246,,59.75876
11/2000,CAMPECHE,2346.4818,2346.4818,0.0,1485.8844199999999,1485.77775,0.10667,,27.8439
11/2000,CHIAPAS,47.36869,47.36869,0.0,609.38941,609.38941,0.0,,17.17459
11/2000,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,10.44614,0.0,10.44614,,0.31906
11/2000,NUEVO LEÓN,0.88236,0.0,0.88236,471.27063999999996,0.0,471.27063999999996,,5.71569
11/2000,PUEBLA,2.6167,2.6167,0.0,8.17535,8.17535,0.0,,0.26660999999999996
11/2000,SAN LUIS POTOSÍ,0.74047,0.74047,0.0,0.39469,0.39469,0.0,,0.23628
11/2000,TABASCO,482.13157,481.30715000000004,0.82442,1185.24428,1041.1541399999999,144.09014,,52.44012
11/2000,TAMAULIPAS,23.80222,21.26989,2.53233,566.63858,33.6802,532.95838,,28.9466
11/2000,VERACRUZ DE IGNACIO DE LA LLAVE,64.03279,62.80161,1.23118,225.89095,79.48662,146.40433,,59.49589
12/2000,CAMPECHE,2426.84384,2426.84384,0.0,1537.7927300000001,1537.21853,0.5742,,31.53422
12/2000,CHIAPAS,48.2233,48.2233,0.0,604.76894,604.76894,0.0,,16.86898
12/2000,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,10.38665,0.0,10.38665,,0.30061
12/2000,NUEVO LEÓN,0.7912,0.0,0.7912,472.53146999999996,0.0,472.53146999999996,,6.27945
12/2000,PUEBLA,2.6332500000000003,2.6332500000000003,0.0,9.042440000000001,9.042440000000001,0.0,,0.26637
12/2000,SAN LUIS POTOSÍ,0.69407,0.69407,0.0,0.28125,0.28125,0.0,,0.2135
12/2000,TABASCO,478.45974,477.59426,0.8654799999999999,1168.08152,1022.20005,145.88147,,52.26444
12/2000,TAMAULIPAS,24.21091,21.71206,2.4988499999999996,563.3043,34.66861,528.63569,,28.874100000000002
12/2000,VERACRUZ DE IGNACIO DE LA LLAVE,64.31026,63.08213,1.22813,227.10913,78.7846,148.32453,,59.546749999999996
01/2001,CAMPECHE,2480.19292,2480.19292,0.0,1556.78964,1556.18964,0.6,,30.81252
01/2001,CHIAPAS,49.09474,49.09474,0.0,600.22105,600.22105,0.0,,17.53489
01/2001,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,10.46031,0.0,10.46031,,0.37887999999999994
01/2001,NUEVO LEÓN,0.80867,0.0,0.80867,440.09199,0.0,440.09199,,5.4184399999999995
01/2001,PUEBLA,2.6724,2.6724,0.0,9.47519,9.47519,0.0,,0.27051
01/2001,SAN LUIS POTOSÍ,0.6128,0.6128,0.0,0.2872,0.2872,0.0,,0.15459
01/2001,TABASCO,470.59075,469.61707,0.97368,1143.02739,997.74123,145.28615,,53.22476
01/2001,TAMAULIPAS,23.9544,21.69969,2.25471,583.46317,34.45127,549.0119,,31.26673
01/2001,VERACRUZ DE IGNACIO DE LA LLAVE,62.67192,61.475030000000004,1.19689,227.90442,77.19604,150.70838,,58.78412
02/2001,CAMPECHE,2533.39261,2533.39261,0.0,1587.17274,1586.61381,0.55893,,33.27034
02/2001,CHIAPAS,48.25423,48.25423,0.0,595.7826600000001,595.7826600000001,0.0,,17.57361
02/2001,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,10.62281,0.0,10.62281,,0.4359
02/2001,NUEVO LEÓN,0.83612,0.0,0.83612,448.82243,0.0,448.82243,,4.910010000000001
02/2001,PUEBLA,2.6789199999999997,2.6789199999999997,0.0,11.07792,11.07792,0.0,,0.26937
02/2001,SAN LUIS POTOSÍ,0.62076,0.62076,0.0,0.2808,0.2808,0.0,,0.22027
02/2001,TABASCO,467.39798,466.41678,0.9812000000000001,1145.47221,995.85678,149.61544,,57.00074
02/2001,TAMAULIPAS,25.36674,23.17795,2.18879,579.35151,36.0639,543.28761,,30.05739
02/2001,VERACRUZ DE IGNACIO DE LA LLAVE,61.08972,60.32223,0.76749,189.16878,74.91304,114.25574,,57.42594
03/2001,CAMPECHE,2548.88058,2548.88058,0.0,1596.8933399999999,1596.32882,0.56452,,32.23015
03/2001,CHIAPAS,48.42092,48.42092,0.0,604.50681,604.50681,0.0,,16.31688
03/2001,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,10.10422,0.0,10.10422,,0.45710999999999996
03/2001,NUEVO LEÓN,0.94014,0.0,0.94014,442.57675,0.0,442.57675,,5.0462299999999995
03/2001,PUEBLA,2.73542,2.73542,0.0,10.17313,10.17313,0.0,,0.27386
03/2001,SAN LUIS POTOSÍ,0.56111,0.56111,0.0,0.18741,0.18741,0.0,,0.16461
03/2001,TABASCO,465.02967,464.07076,0.95891,1149.62595,1000.20481,149.42114999999998,,57.82564
