COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,,
PRODUCCION POR OPERADOR,,,,,,,,,,
Producción mensual por operador,,,,,,,,,,
Datos a enero - 2025.,,,,,,,,,,
Notas: Volumen de producción asignado únicamente a la empresa operadora de cada Asignación o Contrato.,,,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,,
Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd).,,,,,,,,,,
,,,,,,,,,,
FECHA,ASIG_CONT,OPERADOR,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOC_MMPCD,GAS_NASOC_MMPCD,N2_MMPCD,AGUA_MBD
10/2016,CNH-R01-L03-A21/2016,STRATA,0.0,0.0,0.0,1.4326274679822784,0.0,1.4326274679822784,0.005014,0.00433904896451613
10/2016,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.17974621896555384,0.17974621896555384,0.0,0.913921942623825,0.913921942623825,0.0,0.016862,0.03307217419354839
10/2016,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,3.0121546963120056,0.0,3.0121546963120056,0.004518,0.00799970302836774
10/2016,CNH-R01-L03-A5/2015,STRATA,0.0,0.0,0.0,1.463673010253253,0.0,1.463673010253253,0.003952,0.01442090466044516
10/2016,CNH-R01-L03-A7/2015,SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO,0.7321888622345458,0.7321888622345458,0.0,1.0796156882138748,1.0796156882138748,0.0,0.010594,0.4788363923720903
10/2016,CNH-R01-L03-A8/2015,DUNAS EXPLORACIÓN Y PRODUCCIÓN,0.0,0.0,0.0,1.105894227521391,0.0,1.105894227521391,0.001769,0.00050620979959355
11/2016,ASIGNACIONES,PEMEX EXPLORACIÓN Y PRODUCCIÓN,2070.2141562022102,2065.0774674058607,5.136688796349409,5426.202837304098,4355.616548773586,1070.5862885305132,952.3060429999998,489.13444068626285
11/2016,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.2443203798672789,0.2443203798672789,0.0,1.2037428089395217,1.2037428089395217,0.0,0.044189,1.4512665200000001
11/2016,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,3.6134798045479144,0.0,3.6134798045479144,0.005059,0.0046065384002
11/2016,CNH-R01-L03-A15/2015,RENAISSANCE OIL CORP,0.21550097465291243,0.21550097465291243,0.0,3.848698926985712,3.848698926985712,0.0,0.15872,0.70739284
