COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,,
PRODUCCION POR UBICACIÓN,,,,,,,,,,
Datos de producción mensual cuenca y ubicación.,,,,,,,,,,
Datos a enero - 2025.,,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd).,,,,,,,,,,
La serie de nitrógeno se comienza a reportar a partir de 2016.,,,,,,,,,,
"A partir de 2016 se contabiliza la producción de petróleo a una temperatura de 15.56 grados Celsius, de conformidad",,,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,,
con lo establecido en los Lineamientos Técnicos en Materia de Medición de Hidrocarburos.,,,,,,,,,,
,,,,,,,,,,
FECHA,CUENCA,UBICACION,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOCIADO_MMPCD,GAS_NO_ASOCIADO_MMPCD,NITROGENO_MMPCD,AGUA_MBD
03/2017,Burgos,Terrestre,5.132958406,0.0,5.132958406,693.426487279,0.0,693.426487279,4.150248,15.079479929
02/2017,Burgos,Terrestre,4.838873247,0.0,4.838873247,696.951668895,0.0,696.951668895,4.153897,15.242835951
01/2017,Burgos,Terrestre,5.187223147,0.0,5.187223147,703.941490697,0.0,703.941490697,2.64289,15.091285884
12/2016,Burgos,Terrestre,5.21342987,0.0,5.21342987,716.949585247,0.0,716.949585247,2.757312,15.706698331
11/2016,Burgos,Terrestre,5.136688796,0.0,5.136688796,726.782271697,0.0,726.782271697,2.772265,15.379963844
10/2016,Burgos,Terrestre,5.445576853,0.0,5.445576853,750.689626368,0.0,750.689626368,2.894772,16.11239206
09/2016,Burgos,Terrestre,5.689010834,0.0,5.689010834,770.179783587,0.0,770.179783587,2.954522,16.066674656
08/2016,Burgos,Terrestre,5.942243022,0.0,5.942243022,800.528634537,0.0,800.528634537,3.069395,16.324054269
07/2016,Burgos,Terrestre,6.07592909,0.0,6.07592909,835.454153818,0.0,835.454153818,3.215478,17.277516703
06/2016,Burgos,Terrestre,6.942153006,0.0,6.942153006,882.503767221,0.0,882.503767221,3.362145,18.645548962
05/2016,Burgos,Terrestre,7.665213182,0.0,7.665213182,905.924862379,0.0,905.924862379,3.485524,18.720768779
04/2016,Burgos,Terrestre,8.158302858,0.0,8.158302858,926.296093356,0.0,926.296093356,3.569456,19.184564062
03/2016,Burgos,Terrestre,8.092703063,0.0,8.092703063,942.08876807,0.0,942.08876807,3.625532,18.52035824
02/2016,Burgos,Terrestre,8.488000628,0.0,8.488000628,961.863329341,0.0,961.863329341,3.717676,18.997922296
01/2016,Burgos,Terrestre,8.635082688,0.0,8.635082688,966.991207329,0.0,966.991207329,3.78371,18.734339865
12/2015,Burgos,Terrestre,0.0,0.0,0.0,988.51876,0.0,988.51876,0.0,0.0
11/2015,Burgos,Terrestre,0.0,0.0,0.0,989.294693,0.0,989.294693,0.0,0.0
10/2015,Burgos,Terrestre,0.0,0.0,0.0,1001.743329,0.0,1001.743329,0.0,0.0
09/2015,Burgos,Terrestre,0.0,0.0,0.0,1011.332246,0.0,1011.332246,0.0,0.0
08/2015,Burgos,Terrestre,0.0,0.0,0.0,1014.172589,0.0,1014.172589,0.0,0.0
07/2015,Burgos,Terrestre,0.0,0.0,0.0,1046.644156,0.0,1046.644156,0.0,0.0
06/2015,Burgos,Terrestre,0.0,0.0,0.0,1091.237941,0.0,1091.237941,0.0,0.0
05/2015,Burgos,Terrestre,0.0,0.0,0.0,1059.820496,0.0,1059.820496,0.0,0.0
04/2015,Burgos,Terrestre,0.0,0.0,0.0,1151.366599,0.0,1151.366599,0.0,0.0
03/2015,Burgos,Terrestre,0.0,0.0,0.0,1183.904838,0.0,1183.904838,0.0,0.0
02/2015,Burgos,Terrestre,0.0,0.0,0.0,1201.400766,0.0,1201.400766,0.0,0.0
01/2015,Burgos,Terrestre,0.0,0.0,0.0,1202.337894,0.0,1202.337894,0.0,0.0
12/2014,Burgos,Terrestre,0.0,0.0,0.0,1219.502177,0.0,1219.502177,0.0,0.0
11/2014,Burgos,Terrestre,0.0,0.0,0.0,1227.067676,0.0,1227.067676,0.0,0.0
10/2014,Burgos,Terrestre,0.0,0.0,0.0,1227.692356,0.0,1227.692356,0.0,0.0
09/2014,Burgos,Terrestre,0.0,0.0,0.0,1196.132839,0.0,1196.132839,0.0,0.0
08/2014,Burgos,Terrestre,0.0,0.0,0.0,1195.264786,0.0,1195.264786,0.0,0.0
07/2014,Burgos,Terrestre,0.0,0.0,0.0,1181.641747,0.0,1181.641747,0.0,0.0
06/2014,Burgos,Terrestre,9.481218,9.481218,0.0,1173.99726,141.668378,1032.328882,0.0,0.0
05/2014,Burgos,Terrestre,9.872855,9.872855,0.0,1162.911686,139.424645,1023.487041,0.0,0.0
04/2014,Burgos,Terrestre,9.990283,9.990283,0.0,1155.426484,138.31502,1017.111464,0.0,0.0
03/2014,Burgos,Terrestre,10.464273,10.464273,0.0,1152.218023,136.464687,1015.753336,0.0,0.0
02/2014,Burgos,Terrestre,10.593375,10.593375,0.0,1153.205324,133.252421,1019.952903,0.0,0.0
01/2014,Burgos,Terrestre,10.31337,10.31337,0.0,1129.36475,124.423653,1004.941097,0.0,0.0
12/2013,Burgos,Terrestre,9.814855,9.814855,0.0,1147.284205,124.14895,1023.135255,0.0,0.0
11/2013,Burgos,Terrestre,9.237285,9.237285,0.0,1158.714172,117.997362,1040.71681,0.0,0.0
10/2013,Burgos,Terrestre,8.926405,8.926405,0.0,1137.268113,113.033815,1024.234298,0.0,0.0
09/2013,Burgos,Terrestre,8.803752,8.803752,0.0,1187.070325,120.203052,1066.867273,0.0,0.0
08/2013,Burgos,Terrestre,8.428599,8.428599,0.0,1208.522522,114.740957,1093.781565,0.0,0.0
07/2013,Burgos,Terrestre,8.050406,8.050406,0.0,1223.352194,113.850849,1109.501345,0.0,0.0
06/2013,Burgos,Terrestre,7.510322,7.510322,0.0,1220.158484,109.377961,1110.780523,0.0,0.0
05/2013,Burgos,Terrestre,7.047896,7.047896,0.0,1235.841879,101.851333,1133.990546,0.0,0.0
04/2013,Burgos,Terrestre,6.849021,6.849021,0.0,1273.035666,101.268,1171.767666,0.0,0.0
03/2013,Burgos,Terrestre,7.034126,7.034126,0.0,1295.987338,103.591589,1192.395749,0.0,0.0
02/2013,Burgos,Terrestre,7.025562,7.025562,0.0,1319.851709,104.135956,1215.715753,0.0,0.0
01/2013,Burgos,Terrestre,6.743602,6.743602,0.0,1318.068745,100.178063,1217.890682,0.0,0.0
12/2012,Burgos,Terrestre,6.353435,6.353435,0.0,1332.553165,94.038443,1238.514722,0.0,0.0
11/2012,Burgos,Terrestre,5.262576,5.262576,0.0,1348.173464,81.323876,1266.849588,0.0,0.0
10/2012,Burgos,Terrestre,4.927382,4.927382,0.0,774.305563,74.137571,700.167992,0.0,0.0
09/2012,Burgos,Terrestre,5.271568,5.271568,0.0,1000.056233,68.069235,931.986998,0.0,0.0
08/2012,Burgos,Terrestre,5.205389,5.205389,0.0,1280.734223,65.720521,1215.013702,0.0,0.0
07/2012,Burgos,Terrestre,5.034872,5.034872,0.0,1248.665929,66.555819,1182.11011,0.0,0.0
06/2012,Burgos,Terrestre,5.127674,5.127674,0.0,1239.649438,58.957647,1180.691791,0.0,0.0
05/2012,Burgos,Terrestre,4.526188,4.526188,0.0,1250.534415,61.0464,1189.488015,0.0,0.0
04/2012,Burgos,Terrestre,4.257788,4.257788,0.0,1230.69237,54.132731,1176.559639,0.0,0.0
03/2012,Burgos,Terrestre,3.22258,3.22258,0.0,1229.437339,44.287503,1185.149836,0.0,0.0
02/2012,Burgos,Terrestre,4.369037,4.369037,0.0,1239.213648,49.824734,1189.388914,0.0,0.0
01/2012,Burgos,Terrestre,3.697668,3.697668,0.0,1235.401297,46.15805,1189.243247,0.0,0.0
12/2011,Burgos,Terrestre,3.659377,3.659377,0.0,1242.887081,42.281386,1200.605695,0.0,0.0
11/2011,Burgos,Terrestre,3.565526,3.565526,0.0,1252.50272,41.09574,1211.40698,0.0,0.0
10/2011,Burgos,Terrestre,4.056089,4.056089,0.0,1259.52931,46.045051,1213.484259,0.0,0.0
09/2011,Burgos,Terrestre,3.438892,3.438892,0.0,1254.360079,41.006438,1213.353641,0.0,0.0
08/2011,Burgos,Terrestre,3.015557,3.015557,0.0,1268.070432,34.152095,1233.918337,0.0,0.0
07/2011,Burgos,Terrestre,2.584517,2.584517,0.0,1235.775931,35.37698,1200.398951,0.0,0.0
06/2011,Burgos,Terrestre,2.242717,2.242717,0.0,1228.25718,29.401004,1198.856176,0.0,0.0
05/2011,Burgos,Terrestre,1.454443,1.454443,0.0,1222.303416,23.703203,1198.600213,0.0,0.0
04/2011,Burgos,Terrestre,1.88393,1.88393,0.0,1239.394389,31.178197,1208.216192,0.0,0.0
03/2011,Burgos,Terrestre,1.777278,1.777278,0.0,1256.156189,35.15077,1221.005419,0.0,0.0
02/2011,Burgos,Terrestre,1.349418,1.349418,0.0,1255.270379,21.927198,1233.343181,0.0,0.0
01/2011,Burgos,Terrestre,1.311692,1.311692,0.0,1279.509422,21.29504,1258.214382,0.0,0.0
12/2010,Burgos,Terrestre,1.202796,1.202796,0.0,1289.074912,20.414052,1268.66086,0.0,0.0
11/2010,Burgos,Terrestre,1.105428,1.105428,0.0,1282.262738,20.361993,1261.900745,0.0,0.0
10/2010,Burgos,Terrestre,1.033302,1.033302,0.0,1274.379085,22.104232,1252.274853,0.0,0.0
09/2010,Burgos,Terrestre,1.157428,1.157428,0.0,1275.092891,23.552794,1251.540097,0.0,0.0
08/2010,Burgos,Terrestre,1.583166,1.583166,0.0,1288.668234,26.359271,1262.308963,0.0,0.0
07/2010,Burgos,Terrestre,1.288256,1.288256,0.0,1258.45756,23.697742,1234.759818,0.0,0.0
06/2010,Burgos,Terrestre,1.313282,1.313282,0.0,1340.942397,23.717298,1317.225099,0.0,0.0
05/2010,Burgos,Terrestre,1.329192,1.329192,0.0,1399.480013,24.407462,1375.072551,0.0,0.0
04/2010,Burgos,Terrestre,1.354716,1.354716,0.0,1437.967354,20.352777,1417.614577,0.0,0.0
03/2010,Burgos,Terrestre,1.248364,1.248364,0.0,1448.274932,14.725549,1433.549383,0.0,0.0
02/2010,Burgos,Terrestre,1.419571,1.419571,0.0,1468.357186,12.494899,1455.862287,0.0,0.0
01/2010,Burgos,Terrestre,0.0,0.0,0.0,1454.945434,0.0,1454.945434,0.0,0.0
12/2009,Burgos,Terrestre,0.0,0.0,0.0,1453.278374,0.0,1453.278374,0.0,0.0
11/2009,Burgos,Terrestre,0.0,0.0,0.0,1463.633905,0.0,1463.633905,0.0,0.0
10/2009,Burgos,Terrestre,0.0,0.0,0.0,1447.111107,0.0,1447.111107,0.0,0.0
09/2009,Burgos,Terrestre,0.0,0.0,0.0,1398.20168,0.0,1398.20168,0.0,0.0
08/2009,Burgos,Terrestre,0.0,0.0,0.0,1413.202115,0.0,1413.202115,0.0,0.0
07/2009,Burgos,Terrestre,0.0,0.0,0.0,1402.411578,0.0,1402.411578,0.0,0.0
06/2009,Burgos,Terrestre,0.0,0.0,0.0,1395.639606,0.0,1395.639606,0.0,0.0
05/2009,Burgos,Terrestre,0.0,0.0,0.0,1376.501722,0.0,1376.501722,0.0,0.0
04/2009,Burgos,Terrestre,0.0,0.0,0.0,1336.042908,0.0,1336.042908,0.0,0.0
