Numero;Tipo_de_incidente;DSC_GRAVIDADE_TIPO;DSC_QUASE_ACIDENTE_ACIDENTE
1309/000053;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1309/000053;SSO - Queda de objetos;;
1309/000054;SSO - Quase acidente de alto potencial;;
1309/000055;SSO - Descarga menor de fluido de perfuração, completação ou intervenção em poços;;
1309/000056;SSO - Quase acidente de alto potencial;;
1309/000057;SSO - Descarga menor de óleo;;
1309/000058;SSO - Parada emergencial de nível menor;;
1309/000059;SSO - Quase acidente de alto potencial;;
1309/000060;SSO - Quase acidente de alto potencial;;
1309/000061;SSO - Descarga significante de fluido de perfuração, completação ou intervenção em poços;;
1309/000062;SSO - Descarga significante de fluido de perfuração, completação ou intervenção em poços;;
1309/000062;SSO - Perda de contenção primária significante de fluido de perfuração, completação ou intervenção em poços;;
1309/000063;Descarga menor de óleo;LEVE;Acidente
1309/000064;Abalroamento significante;MODERADO;Acidente
1309/000064;Falha na demanda total ou parcial de sistema crítico de segurança operacional;MODERADO;Quase acidente
1309/000065;Ferimento grave;MODERADO;Acidente
1309/000066;Quase acidente de alto potencial;LEVE;Quase acidente
1309/000066;Descarga significante de óleo;MODERADO;Acidente
1309/000067;Ferimento grave;MODERADO;Acidente
1309/000068;SSO - Descarga menor de fluido de perfuração, completação ou intervenção em poços;;
1309/000069;SSO - Descarga menor de óleo;;
1309/000070;Descarga significante de óleo;MODERADO;Acidente
1309/000071;SSO - Descarga menor de óleo;;
1309/000072;Queda de objetos;LEVE;Quase acidente
1309/000073;SSO - Descarga menor de óleo;;
1309/000074;Reclassificação;;
1309/000074;SSO - Parada emergencial de nível menor;;
1309/000075;SSO - Descarga menor de óleo;;
1309/000076;SSO - Queda de objetos;;
1309/000077;SSO - Queda de objetos;;
1309/000078;SSO - Descarga menor de óleo;;
1309/000079;SSO - Quase acidente de alto potencial;;
1309/000079;SSO - Queda de objetos;;
1309/000081;SSO - Ferimento grave;;
1309/000083;SSO - Descarga menor de água de injeção;;
1309/000084;SSO - Quase acidente de alto potencial;;
1309/000085;Descarga menor de óleo;LEVE;Acidente
1309/000086;Descarga significante de óleo;MODERADO;Acidente
1309/000086;Perda de contenção primária significante de óleo;LEVE;Quase acidente
1309/000087;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1309/000088;SSO - Descarga significante de óleo;;
1309/000088;SSO - Perda de contenção primária significante de óleo;;
1309/000089;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1309/000090;SSO - Descarga significante de óleo;;
1309/000090;SSO - Perda de contenção primária significante de óleo;;
1309/000091;Descarga significante de óleo;MODERADO;Acidente
1309/000093;SSO - Descarga significante de óleo;;
1309/000093;SSO - Perda de contenção primária significante de óleo;;
1309/000094;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1309/000095;Reclassificação;;
1309/000095;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1309/000096;SSO - Descarga menor de óleo;;
1309/000097;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1309/000098;SSO - Princípio de incêndio;;
1309/000099;SSO - Constatação de mancha de origem indeterminada;;
1309/000100;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1309/000101;Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;MODERADO;Acidente
1309/000102;Princípio de incêndio;LEVE;Acidente
1309/000103;SSO - Parada emergencial de nível menor;;
1309/000104;Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;MODERADO;Acidente
1309/000105;SSO - Parada emergencial de nível menor;;
1309/000106;SSO - Ferimento grave;;
1309/000107;SSO - Queda de objetos;;
1309/000108;SSO - Parada emergencial de nível menor;;
1309/000109;SSO - Parada emergencial de nível menor;;
1309/000110;SSO - Parada emergencial de nível menor;;
1309/000111;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1309/000112;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1309/000113;Constatação de mancha de origem indeterminada;MODERADO;Quase acidente
1309/000114;SSO - Descarga menor de óleo;;
1309/000115;SSO - Descarga menor de óleo;;
1309/000116;SSO - Constatação de mancha de origem indeterminada;;
1309/000117;SSO - Ferimento grave;;
1309/000118;Ferimento grave;MODERADO;Acidente
1309/000119;Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;MODERADO;Acidente
1309/000120;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1309/000121;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1309/000122;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1309/000123;SSO - Descarga menor de óleo;;
1309/000124;SSO - Descarte fora de especificação de água produzida;;
1309/000125;SSO - Princípio de incêndio;;
1309/000126;SSO - Princípio de incêndio;;
1309/000127;SSO - Princípio de incêndio;;
1309/000128;SSO - Queda de objetos;;
1309/000129;SSO - Queda de objetos;;
1309/000130;SSO - Queda de objetos;;
1309/000131;SSO - Princípio de incêndio;;
1309/000131;SSO - Quase acidente de alto potencial;;
