Numero;Tipo_de_incidente;DSC_GRAVIDADE_TIPO;DSC_QUASE_ACIDENTE_ACIDENTE
1903/000127;SSO - Quase acidente de alto potencial;;
1903/000127;SSO - Queda de objetos;;
1903/000128;SSO - Parada emergencial de nível intermediário;;
1903/000129;SSO - Queda de objetos;;
1903/000130;SSO - Parada emergencial de nível intermediário;;
1903/000131;SSO - Parada emergencial de nível menor;;
1903/000132;SSO - Parada emergencial de nível menor;;
1903/000133;SSO - Queda de objetos;;
1903/000134;SSO - Parada emergencial de nível menor;;
1903/000135;SSO - Parada emergencial de nível menor;;
1903/000136;SSO - Parada emergencial de nível menor;;
1903/000137;SSO - Parada emergencial de nível menor;;
1903/000138;SSO - Parada emergencial de nível menor;;
1903/000139;SSO - Parada emergencial de nível menor;;
1903/000140;SSO - Parada emergencial de nível menor;;
1903/000141;SSO - Parada emergencial de nível menor;;
1903/000142;SSO - Descarga significante de água de injeção;;
1903/000142;SSO - Perda de contenção primária significante de água de injeção;;
1903/000143;Descarga menor de material com alto potencial de dano;LEVE;Acidente
1903/000144;SSO - Descarte fora de especificação de água produzida;;
1903/000145;SSO - Descarte fora de especificação de água produzida;;
1903/000146;SSO - Parada emergencial de nível menor;;
1903/000147;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1903/000148;SSO - Perda de contenção primária significante de material com alto potencial de dano;;
1903/000149;SSO - Parada emergencial de nível menor;;
1903/000150;SSO - Parada emergencial de nível menor;;
1903/000151;SSO - Parada emergencial de nível menor;;
1903/000152;SSO - Parada emergencial de nível menor;;
1903/000153;SSO - Parada emergencial de nível menor;;
1903/000154;SSO - Descarga menor de material com alto potencial de dano;;
1903/000155;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1903/000155;SSO - Parada emergencial de nível intermediário;;
1903/000156;SSO - Parada emergencial de nível menor;;
1903/000157;SSO - Parada emergencial de nível menor;;
1903/000158;SSO - Descarga menor de óleo;;
1903/000158;SSO - Perda de contenção primária significante de óleo;;
1903/000158;SSO - Quase acidente de alto potencial;;
1903/000159;SSO - Descarga significante de material com alto potencial de dano;;
1903/000159;SSO - Perda de contenção primária significante de material com alto potencial de dano;;
1903/000160;SSO - Queda de objetos;;
1903/000161;SSO - Parada emergencial de nível menor;;
1903/000162;SSO - Descarga menor de material com alto potencial de dano;;
1903/000162;SSO - Falha no Blowout Preventer (BOP);;
1903/000163;SSO - Parada emergencial de nível menor;;
1903/000164;SSO - Parada emergencial de nível menor;;
1903/000165;SSO - Parada emergencial de nível menor;;
1903/000166;SSO - Parada emergencial de nível menor;;
1903/000167;SSO - Parada emergencial de nível intermediário;;
1903/000169;Quase acidente de alto potencial;LEVE;Quase acidente
1903/000171;SSO - Parada emergencial de nível menor;;
1903/000172;SSO - Falha no Blowout Preventer (BOP);;
1903/000173;SSO - Parada emergencial de nível menor;;
1903/000174;SSO - Descarga significante de óleo;;
1903/000174;SSO - Perda de contenção primária significante de óleo;;
1903/000175;SSO - Parada emergencial de nível menor;;
1903/000176;SSO - Quase acidente de alto potencial;;
1903/000176;SSO - Queda de objetos;;
1903/000177;SSO - Parada emergencial de nível menor;;
1903/000178;SSO - Ferimento grave;;
1903/000179;SSO - Perda de contenção primária significante de água produzida;;
1903/000180;SSO - Parada emergencial de nível menor;;
1903/000181;SSO - Parada emergencial de nível menor;;
1903/000182;SSO - Perda de circulação;;
1903/000183;Descarga menor de material com alto potencial de dano;LEVE;Acidente
1903/000184;SSO - Descarga menor de água oleosa;;
1903/000185;SSO - Parada emergencial de nível menor;;
1903/000186;SSO - Parada emergencial de nível menor;;
1903/000187;SSO - Descarga significante de óleo;;
1903/000187;SSO - Perda de contenção primária significante de óleo;;
1903/000188;SSO - Descarga maior de óleo;;
1903/000188;SSO - Perda de contenção primária maior de óleo;;
1903/000189;SSO - Parada emergencial de nível menor;;
1903/000190;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1903/000191;Perda de contenção primária significante de material com alto potencial de dano;LEVE;Quase acidente
1903/000192;SSO - Parada emergencial de nível menor;;
1903/000193;SSO - Parada emergencial de nível menor;;
1903/000194;SSO - Descarte fora de especificação de água produzida;;
1903/000195;SSO - Afundamento de equipamento ou material;;
1903/000196;SSO - Parada emergencial de nível menor;;
1903/000197;SSO - Parada emergencial de nível menor;;
1903/000198;SSO - Parada emergencial de nível menor;;
1903/000200;SSO - Falha no Blowout Preventer (BOP);;
1903/000201;SSO - Falha no Blowout Preventer (BOP);;
1903/000202;SSO - Princípio de incêndio;;
1903/000203;SSO - Parada emergencial de nível menor;;
1903/000204;SSO - Parada emergencial de nível menor;;
1903/000205;SSO - Parada emergencial de nível menor;;
1903/000206;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1903/000207;SSO - Falha no Blowout Preventer (BOP);;
1903/000208;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1903/000209;SSO - Parada emergencial de nível menor;;
1903/000210;SSO - Princípio de incêndio;;
1903/000211;Afundamento de equipamento ou material;LEVE;Acidente
1904/000001;SSO - Descarga menor de material com alto potencial de dano;;
1904/000002;SSO - Parada emergencial de nível menor;;
1904/000003;SSO - Parada emergencial de nível menor;;
1904/000004;SSO - Falha no Blowout Preventer (BOP);;
1904/000005;SSO - Parada emergencial de nível intermediário;;
1904/000006;SSO - Parada emergencial de nível menor;;
1904/000007;SSO - Quase acidente de alto potencial;;
1904/000008;SSO - Quase acidente de alto potencial;;
1904/000009;SSO - Perda de contenção primária significante de água de injeção;;
1904/000010;Descarga menor de material com alto potencial de dano;LEVE;Acidente
1904/000011;SSO - Afundamento de equipamento ou material;;
1904/000011;SSO - Descarga menor de óleo;;
1904/000012;SSO - Perda de contenção primária significante de óleo;;
1904/000013;SSO - Descarga menor de material com alto potencial de dano;;
1904/000014;SSO - Parada emergencial de nível intermediário;;
1904/000014;SSO - Perda de contenção maior de gás inflamável;;
1904/000015;Afundamento de equipamento ou material;LEVE;Acidente
1904/000016;SSO - Falha no Blowout Preventer (BOP);;
1904/000017;SSO - Perda de contenção primária significante de material com alto potencial de dano;;
1904/000018;SSO - Parada emergencial de nível intermediário;;
1904/000019;SSO - Parada emergencial de nível menor;;
1904/000020;SSO - Parada emergencial de nível menor;;
1904/000021;SSO - Parada emergencial de nível menor;;
1904/000022;SSO - Afundamento de equipamento ou material;;
1904/000022;SSO - Queda de objetos;;
1904/000023;SSO - Falha no Blowout Preventer (BOP);;
1904/000024;SSO - Descarga menor de água oleosa;;
1904/000026;SSO - Constatação de mancha de origem indeterminada;;
1904/000027;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1904/000027;SSO - Parada emergencial de nível menor;;
1904/000028;SSO - Ferimento com afastamento por mais de 3 (três) dias;;
1904/000029;SSO - Parada emergencial de nível intermediário;;
1904/000030;SSO - Parada emergencial de nível menor;;
1904/000031;SSO - Parada emergencial de nível menor;;
1904/000032;SSO - Parada emergencial de nível maior;;
1904/000032;SSO - Perda de contenção significante de gás inflamável;;
1904/000033;SSO - Parada emergencial de nível menor;;
1904/000034;SSO - Princípio de incêndio;;
1904/000035;SSO - Parada emergencial de nível menor;;
1904/000036;SSO - Parada emergencial de nível menor;;
1904/000037;SSO - Falha no Blowout Preventer (BOP);;
1904/000038;SSO - Parada emergencial de nível menor;;
1904/000038;SSO - Princípio de incêndio;;
1904/000039;SSO - Parada emergencial de nível menor;;
1904/000040;SSO - Parada emergencial de nível menor;;
1904/000041;SSO - Parada emergencial de nível menor;;
1904/000042;SSO - Parada emergencial de nível menor;;
1904/000043;SSO - Parada emergencial de nível menor;;
1904/000044;SSO - Parada emergencial de nível menor;;
1904/000045;SSO - Quase acidente de alto potencial;;
1904/000046;SSO - Perda de contenção primária maior de água de injeção;;
1904/000047;SSO - Queda de objetos;;
1904/000048;Descarga menor de material com alto potencial de dano;LEVE;Acidente
1904/000049;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1904/000050;SSO - Ferimento grave;;
1904/000051;SSO - Ferimento com afastamento de 1 (um) a 3 (três) dias;;
1904/000052;SSO - Perda de contenção primária significante de água produzida;;
1904/000053;SSO - Quase acidente de alto potencial;;
1904/000053;SSO - Queda de objetos;;
1904/000054;SSO - Perda de contenção primária significante de material com alto potencial de dano;;
1904/000054;SSO - Quase acidente de alto potencial;;
1904/000055;SSO - Descarga menor de óleo;;
1904/000056;SSO - Parada emergencial de nível intermediário;;
1904/000056;SSO - Perda de contenção primária significante de água oleosa;;
1904/000057;SSO - Descarga significante de água de injeção;;
1904/000057;SSO - Perda de contenção primária significante de água de injeção;;
1904/000058;SSO - Descarga significante de água de injeção;;
1904/000058;SSO - Perda de contenção primária significante de água de injeção;;
1904/000059;Descarga menor de água oleosa;LEVE;Acidente
1904/000059;Perda de contenção primária significante de água oleosa;LEVE;Quase acidente
1904/000060;SSO - Queda de objetos;;
1904/000061;SSO - Quase acidente de alto potencial;;
1904/000062;SSO - Falha no Blowout Preventer (BOP);;
1904/000063;SSO - Constatação de mancha de origem indeterminada;;
1904/000064;SSO - Parada emergencial de nível menor;;
1904/000065;SSO - Parada emergencial de nível menor;;
1904/000066;SSO - Parada emergencial de nível menor;;
1904/000067;SSO - Parada emergencial de nível intermediário;;
1904/000068;SSO - Parada emergencial de nível menor;;
1904/000070;SSO - Parada emergencial de nível intermediário;;
1904/000071;Descarga significante de material com alto potencial de dano;LEVE;Acidente
1904/000071;Falha no Blowout Preventer (BOP);LEVE;Quase acidente
1904/000072;SSO - Parada emergencial de nível menor;;
1904/000073;SSO - Parada emergencial de nível menor;;
1904/000074;SSO - Descarga significante de fluido de perfuração, completação ou intervenção em poços;;
1904/000074;SSO - Perda de contenção primária significante de fluido de perfuração, completação ou intervenção em poços;;
1904/000075;Falha na demanda total ou parcial de sistema crítico de segurança operacional;MODERADO;Quase acidente
1904/000076;SSO - Parada emergencial de nível menor;;
1904/000077;SSO - Parada emergencial de nível menor;;
1904/000078;SSO - Parada emergencial de nível menor;;
1904/000079;SSO - Princípio de incêndio;;
1904/000080;SSO - Perda de contenção primária significante de água de injeção;;
1904/000081;SSO - Parada emergencial de nível menor;;
1904/000082;SSO - Quase acidente de alto potencial;;
1904/000083;SSO - Parada emergencial de nível menor;;
1904/000084;SSO - Perda de posicionamento;;
1904/000085;SSO - Queda de objetos;;
1904/000086;SSO - Parada emergencial de nível menor;;
1904/000088;SSO - Queda de objetos;;
1904/000089;SSO - Princípio de incêndio;;
1904/000090;Descarga menor de material com alto potencial de dano;LEVE;Acidente
1904/000091;Descarga menor de óleo;LEVE;Acidente
1904/000092;SSO - Ferimento com afastamento por mais de 3 (três) dias;;
1904/000092;SSO - Queda de objetos;;
1904/000093;SSO - Quase acidente de alto potencial;;
1904/000094;SSO - Descarga menor de óleo;;
1904/000095;SSO - Parada emergencial de nível intermediário;;
1904/000096;SSO - Parada emergencial de nível menor;;
1904/000097;SSO - Perda de contenção primária significante de água de injeção;;
1904/000098;SSO - Perda de contenção primária significante de água produzida;;
1904/000099;SSO - Perda de contenção primária significante de água de injeção;;
1904/000100;SSO - Parada emergencial de nível intermediário;;
1904/000101;SSO - Parada emergencial de nível intermediário;;
1904/000102;Afundamento de equipamento ou material;LEVE;Acidente
1904/000103;SSO - Parada emergencial de nível menor;;
1904/000104;SSO - Parada emergencial de nível menor;;
1904/000106;SSO - Parada emergencial de nível menor;;
1904/000107;SSO - Parada emergencial de nível menor;;
1904/000108;SSO - Parada emergencial de nível menor;;
1904/000109;SSO - Parada emergencial de nível menor;;
1904/000110;SSO - Constatação de mancha de origem indeterminada;;
1904/000111;SSO - Parada emergencial de nível menor;;
1904/000112;SSO - Parada emergencial de nível menor;;
1904/000113;Queda de objetos;LEVE;Quase acidente
1904/000114;Quase acidente de alto potencial;LEVE;Quase acidente
1904/000115;SSO - Quase acidente de alto potencial;;
1904/000116;SSO - Parada emergencial de nível intermediário;;
1904/000117;SSO - Quase acidente de alto potencial;;
1904/000118;SSO - Parada emergencial de nível menor;;
1904/000119;SSO - Parada emergencial de nível menor;;
1904/000120;SSO - Descarga menor de fluido de perfuração, completação ou intervenção em poços;;
1904/000121;SSO - Parada emergencial de nível menor;;
1904/000122;SSO - Quase acidente de alto potencial;;
1904/000123;SSO - Parada emergencial de nível menor;;
1904/000124;SSO - Queda de objetos;;
1904/000125;SSO - Ferimento grave;;
1904/000126;SSO - Perda de contenção primária significante de água oleosa;;
1904/000127;SSO - Parada emergencial de nível menor;;
1904/000128;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1904/000129;Descarga menor de óleo;LEVE;Acidente
1904/000130;SSO - Descarga significante de óleo;;
1904/000130;SSO - Perda de contenção primária significante de óleo;;
1904/000131;SSO - Parada emergencial de nível intermediário;;
1904/000132;Descarga menor de material com alto potencial de dano;LEVE;Acidente
1904/000133;Descarga menor de substância nociva ou perigosa;LEVE;Acidente
1904/000134;SSO - Parada emergencial de nível menor;;
1904/000135;SSO - Ferimento grave;;
1904/000136;SSO - Descarte fora de especificação de água produzida;;
1904/000137;Ferimento com afastamento por mais de 3 (três) dias;LEVE;Acidente
1904/000138;SSO - Parada emergencial de nível menor;;
1904/000139;Quase acidente de alto potencial;LEVE;Quase acidente
1904/000140;SSO - Descarga menor de óleo;;
1904/000140;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1904/000140;SSO - Perda de contenção primária significante de óleo;;
1904/000141;SSO - Quase acidente de alto potencial;;
1904/000141;SSO - Queda de objetos;;
1904/000142;SSO - Parada emergencial de nível menor;;
1904/000143;SSO - Parada emergencial de nível menor;;
1904/000144;SSO - Parada emergencial de nível menor;;
1904/000145;SSO - Ferimento com afastamento por mais de 3 (três) dias;;
1904/000146;SSO - Parada emergencial de nível intermediário;;
1904/001141;SSO - Parada emergencial de nível menor;;
1904/001142;SSO - Parada emergencial de nível menor;;
1904/001143;SSO - Descarga menor de óleo;;
1904/001144;SSO - Parada emergencial de nível menor;;
1904/001145;SSO - Perda de contenção primária significante de material com alto potencial de dano;;
1904/001146;SSO - Ferimento grave;;
1904/001147;SSO - Parada emergencial de nível menor;;
1904/001148;SSO - Ferimento com afastamento de 1 (um) a 3 (três) dias;;
1904/001149;SSO - Falha no Blowout Preventer (BOP);;
1904/001150;SSO - Quase acidente de alto potencial;;
1904/001151;Afundamento de equipamento ou material;LEVE;Acidente
1904/001152;SSO - Falha no Blowout Preventer (BOP);;
1904/001154;SSO - Parada emergencial de nível intermediário;;
1904/001155;SSO - Perda de contenção primária significante de fluido de perfuração, completação ou intervenção em poços;;
1904/001156;Constatação de mancha de origem indeterminada;MODERADO;Quase acidente
1904/001157;SSO - Parada emergencial de nível menor;;
1904/001158;SSO - Parada emergencial de nível menor;;
1904/001159;SSO - Parada emergencial de nível menor;;
1904/001160;SSO - Parada emergencial de nível menor;;
1904/001161;SSO - Princípio de incêndio;;
1904/001163;SSO - Parada emergencial de nível intermediário;;
1904/001164;Afundamento de equipamento ou material;LEVE;Acidente
1904/002163;SSO - Princípio de incêndio;;
1904/002164;SSO - Parada emergencial de nível menor;;
1904/002165;SSO - Parada emergencial de nível menor;;
1904/002166;SSO - Quase acidente de alto potencial;;
1904/002168;SSO - Parada emergencial de nível menor;;
1904/002169;SSO - Queda de objetos;;
1904/002170;SSO - Parada emergencial de nível menor;;
1904/002171;SSO - Parada emergencial de nível menor;;
1904/002172;SSO - Descarga significante de óleo;;
1904/002172;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1904/002172;SSO - Perda de contenção primária significante de óleo;;
1904/002173;SSO - Parada emergencial de nível menor;;
1904/002174;SSO - Falha no Blowout Preventer (BOP);;
1904/002175;SSO - Descarga menor de material com alto potencial de dano;;
1904/002176;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1904/002177;SSO - Parada emergencial de nível menor;;
1904/002178;SSO - Descarga menor de óleo;;
1904/002179;SSO - Parada emergencial de nível menor;;
1904/002180;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1904/002181;SSO - Parada emergencial de nível menor;;
1904/002182;SSO - Parada emergencial de nível menor;;
1904/002183;SSO - Parada emergencial de nível menor;;
1904/002184;SSO - Descarga significante de água de injeção;;
1904/002184;SSO - Perda de contenção primária significante de água de injeção;;
1904/002185;Descarga significante de material com alto potencial de dano;LEVE;Acidente
1904/002185;Falha no Blowout Preventer (BOP);LEVE;Quase acidente
1904/002186;SSO - Parada emergencial de nível menor;;
1904/002187;SSO - Parada emergencial de nível menor;;
1904/002188;SSO - Parada emergencial de nível menor;;
1904/002189;Ferimento grave;MODERADO;Acidente
1904/002190;SSO - Descarga significante de água oleosa;;
1904/002190;SSO - Perda de contenção primária significante de água oleosa;;
1904/002191;SSO - Descarga menor de óleo;;
1904/002192;SSO - Parada emergencial de nível menor;;
1904/002193;SSO - Perda de contenção de H2S;;
1904/002194;SSO - Perda de contenção primária significante de água de injeção;;
1904/002195;SSO - Parada emergencial de nível menor;;
1904/002196;SSO - Perda de contenção primária significante de óleo;;
1904/002197;SSO - Princípio de incêndio;;
1904/002198;SSO - Quase acidente de alto potencial;;
1904/002199;SSO - Princípio de incêndio;;
1904/002200;SSO - Descarte fora de especificação de água produzida;;
1904/002202;SSO - Quase acidente de alto potencial;;
1904/002203;SSO - Queda de objetos;;
1904/002204;SSO - Princípio de incêndio;;
1904/002205;SSO - Descarga significante de água de injeção;;
1904/002205;SSO - Perda de contenção primária significante de água de injeção;;
1904/002206;Queda de objetos;LEVE;Quase acidente
1904/002207;SSO - Falha no Blowout Preventer (BOP);;
1904/002208;SSO - Parada emergencial de nível menor;;
1904/002209;SSO - Queda de objetos;;
1904/002211;SSO - Parada emergencial de nível menor;;
1904/002212;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1904/002213;SSO - Queda de objetos;;
1904/002214;SSO - Parada emergencial de nível menor;;
1904/002215;SSO - Parada emergencial de nível menor;;
1904/002216;SSO - Parada emergencial de nível menor;;
1904/002217;SSO - Parada emergencial de nível menor;;
1904/002218;SSO - Parada emergencial de nível intermediário;;
1904/002219;SSO - Parada emergencial de nível menor;;
1904/002220;SSO - Parada emergencial de nível menor;;
1904/002221;SSO - Parada emergencial de nível menor;;
1904/002222;SSO - Quase acidente de alto potencial;;
1904/002222;SSO - Queda de objetos;;
1904/002223;SSO - Fatalidade;;
1904/002224;SSO - Parada emergencial de nível menor;;
1904/002225;SSO - Parada emergencial de nível menor;;
1904/002226;SSO - Parada emergencial de nível menor;;
1904/002227;SSO - Parada emergencial de nível menor;;
1904/002228;SSO - Parada emergencial de nível menor;;
1905/000002;SSO - Parada emergencial de nível menor;;
1905/000003;SSO - Perda de circulação;;
1905/000004;SSO - Perda de contenção primária significante de água oleosa;;
1905/000005;SSO - Parada emergencial de nível menor;;
1905/000006;SSO - Perda de contenção de H2S;;
1905/000007;Descarga menor de fluido de perfuração, completação ou intervenção em poços;LEVE;Acidente
1905/000008;SSO - Parada emergencial de nível menor;;
1905/000009;SSO - Parada emergencial de nível menor;;
1905/000010;SSO - Parada emergencial de nível menor;;
1905/000011;Afundamento de equipamento ou material;LEVE;Acidente
1905/000012;SSO - Afundamento de equipamento ou material;;
1905/000013;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1905/000014;SSO - Queda de objetos;;
1905/000015;SSO - Descarga menor de água oleosa;;
1905/000016;Quase acidente de alto potencial;LEVE;Quase acidente
1905/000017;SSO - Falha no Blowout Preventer (BOP);;
1905/000018;SSO - Parada emergencial de nível intermediário;;
1905/000019;SSO - Parada emergencial de nível menor;;
1905/000020;SSO - Parada emergencial de nível intermediário;;
1905/000021;SSO - Quase acidente de alto potencial;;
1905/000021;SSO - Queda de objetos;;
1905/000022;Descarga menor de material com alto potencial de dano;LEVE;Acidente
1905/000023;SSO - Quase acidente de alto potencial;;
1905/000024;SSO - Quase acidente de alto potencial;;
1905/000025;SSO - Parada emergencial de nível menor;;
1905/000026;SSO - Parada emergencial de nível menor;;
1905/000028;SSO - Parada emergencial de nível menor;;
1905/000029;SSO - Perda de contenção primária significante de água de injeção;;
1905/000030;SSO - Parada emergencial de nível menor;;
1905/000031;SSO - Descarga menor de óleo;;
1905/000032;SSO - Princípio de incêndio;;
1905/000033;SSO - Quase acidente de alto potencial;;
1905/000033;SSO - Queda de objetos;;
1905/000034;SSO - Descarga menor de água oleosa;;
1905/000035;SSO - Perda de contenção de H2S;;
1905/000035;SSO - Perda de contenção primária significante de água oleosa;;
1905/000036;SSO - Parada emergencial de nível menor;;
1905/000037;SSO - Queda de objetos;;
1905/000038;SSO - Parada emergencial de nível menor;;
1905/000039;SSO - Parada emergencial de nível menor;;
1905/000040;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1905/000041;SSO - Parada emergencial de nível menor;;
1905/000042;SSO - Descarga menor de água oleosa;;
1905/000043;SSO - Perda de contenção primária significante de óleo;;
1905/000044;SSO - Perda de contenção primária significante de água de injeção;;
1905/000044;SSO - Perda de contenção primária significante de óleo;;
1905/000045;SSO - Ferimento com afastamento por mais de 3 (três) dias;;
1905/000046;SSO - Perda de contenção primária significante de água oleosa;;
1905/000047;SSO - Parada emergencial de nível menor;;
1905/000048;SSO - Afundamento de equipamento ou material;;
1905/000048;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1905/000050;SSO - Parada emergencial de nível menor;;
1905/000050;SSO - Queima ou emissão de gás por motivo de emergência;;
1905/000051;SSO - Perda de contenção maior de gás inflamável;;
1905/000052;Afundamento de equipamento ou material;LEVE;Acidente
1905/000053;SSO - Princípio de incêndio;;
1905/000054;SSO - Parada emergencial de nível menor;;
1905/000055;SSO - Incêndio significante;;
1905/000056;SSO - Parada emergencial de nível menor;;
1905/000057;SSO - Queda de objetos;;
1905/000058;SSO - Parada emergencial de nível menor;;
1905/000059;SSO - Afundamento de equipamento ou material;;
1905/000060;SSO - Falha no Blowout Preventer (BOP);;
1905/000061;SSO - Parada emergencial de nível menor;;
1905/000062;SSO - Perda de circulação;;
1905/000063;SSO - Parada emergencial de nível menor;;
1905/000064;Perda de posicionamento;MODERADO;Quase acidente
1905/000064;Quase acidente de alto potencial;LEVE;Quase acidente
1905/000065;SSO - Perda de contenção primária significante de material com alto potencial de dano;;
1905/000066;SSO - Parada emergencial de nível menor;;
1905/000067;SSO - Parada emergencial de nível intermediário;;
1905/000068;SSO - Parada emergencial de nível menor;;
1905/000069;SSO - Perda de contenção primária significante de óleo;;
1905/000070;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1905/000071;SSO - Parada emergencial de nível intermediário;;
1905/000072;SSO - Falha no Blowout Preventer (BOP);;
1905/000074;SSO - Falha do sistema de ancoragem;;
1905/000075;SSO - Parada emergencial de nível menor;;
1905/000076;SSO - Queda de objetos;;
1905/000077;SSO - Parada emergencial de nível intermediário;;
1905/000078;SSO - Parada emergencial de nível menor;;
1905/000079;SSO - Descarte fora de especificação de água produzida;;
1905/000080;SSO - Parada emergencial de nível menor;;
1905/000081;SSO - Parada emergencial de nível menor;;
1905/000082;SSO - Parada emergencial de nível menor;;
1905/000083;SSO - Parada emergencial de nível menor;;
1905/000084;SSO - Descarga menor de material com alto potencial de dano;;
1905/000084;SSO - Falha no Blowout Preventer (BOP);;
1905/000085;SSO - Descarga significante de água de injeção;;
1905/000085;SSO - Perda de contenção primária significante de água de injeção;;
1905/000086;SSO - Descarga significante de óleo;;
1905/000086;SSO - Perda de contenção primária significante de óleo;;
1905/000087;Descarga menor de material com alto potencial de dano;LEVE;Acidente
1905/000088;SSO - Descarte fora de especificação de água produzida;;
1905/000089;SSO - Descarte fora de especificação de água produzida;;
1905/000090;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1905/000090;SSO - Parada emergencial de nível menor;;
1905/000091;SSO - Perda de contenção primária significante de óleo;;
1905/000092;SSO - Ferimento com afastamento por mais de 3 (três) dias;;
1905/000093;SSO - Princípio de incêndio;;
1905/000093;SSO - Quase acidente de alto potencial;;
1905/000094;SSO - Parada emergencial de nível menor;;
1905/000095;SSO - Parada emergencial de nível menor;;
1905/000096;SSO - Parada emergencial de nível menor;;
1905/000098;SSO - Parada emergencial de nível menor;;
1905/000099;SSO - Descarga significante de material com alto potencial de dano;;
1905/000100;Afundamento de equipamento ou material;LEVE;Acidente
1905/000101;Descarga menor de óleo;LEVE;Acidente
1905/000102;SSO - Parada emergencial de nível menor;;
1905/000103;SSO - Perda de contenção primária significante de óleo;;
1905/000104;SSO - Falha do sistema de ancoragem;;
1905/000105;SSO - Perda de contenção significante de gás inflamável;;
1905/000105;SSO - Queima ou emissão de gás por motivo de emergência;;
1905/000106;SSO - Quase acidente de alto potencial;;
1905/000106;SSO - Queda de objetos;;
1905/000107;SSO - Queda de objetos;;
1905/000108;SSO - Falha do sistema de ancoragem;;
1905/000109;SSO - Parada emergencial de nível menor;;
1905/000110;SSO - Parada emergencial de nível menor;;
1905/000111;SSO - Parada emergencial de nível menor;;
1905/000112;SSO - Afundamento de equipamento ou material;;
1905/000113;SSO - Parada emergencial de nível menor;;
1905/000114;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1905/000114;SSO - Parada emergencial de nível menor;;
1905/000115;SSO - Parada emergencial de nível menor;;
1905/000116;SSO - Perda de contenção primária significante de óleo;;
1905/000117;SSO - Parada emergencial de nível menor;;
1905/000118;SSO - Queda de objetos;;
1905/000119;Descarga menor de óleo;LEVE;Acidente
1905/000120;SSO - Quase acidente de alto potencial;;
1905/000120;SSO - Queda de objetos;;
1905/000121;SSO - Princípio de incêndio;;
1905/000122;SSO - Perda de contenção primária significante de água oleosa;;
1905/000123;SSO - Parada emergencial de nível menor;;
1905/000124;SSO - Descarga menor de água oleosa;;
1905/000126;Quase acidente de alto potencial;LEVE;Quase acidente
1905/000127;SSO - Queda de objetos;;
1905/000128;SSO - Parada emergencial de nível menor;;
1905/000129;SSO - Parada emergencial de nível menor;;
1905/000130;SSO - Parada emergencial de nível menor;;
1905/000131;SSO - Perda de contenção primária maior de água de injeção;;
1905/000132;SSO - Quase acidente de alto potencial;;
1905/000133;SSO - Parada emergencial de nível intermediário;;
1905/000134;Afundamento de equipamento ou material;LEVE;Acidente
1905/000135;SSO - Parada emergencial de nível intermediário;;
1905/000135;SSO - Parada emergencial de nível menor;;
1905/000136;SSO - Parada emergencial de nível intermediário;;
1905/000136;SSO - Parada emergencial de nível menor;;
1905/000137;SSO - Parada emergencial de nível menor;;
1905/000138;SSO - Perda de contenção primária significante de água de injeção;;
1905/000139;SSO - Quase acidente de alto potencial;;
1905/000139;SSO - Queda de objetos;;
1905/000140;SSO - Parada emergencial de nível menor;;
1905/000141;SSO - Parada emergencial de nível intermediário;;
1905/000142;SSO - Parada emergencial de nível intermediário;;
1905/000143;SSO - Parada emergencial de nível menor;;
1905/000144;SSO - Descarte fora de especificação de água produzida;;
1905/000145;SSO - Parada emergencial de nível intermediário;;
1905/000146;SSO - Perda de contenção primária significante de óleo;;
1905/000147;SSO - Parada emergencial de nível menor;;
1905/000148;SSO - Parada emergencial de nível intermediário;;
1905/000148;SSO - Parada emergencial de nível menor;;
1905/000149;SSO - Parada emergencial de nível intermediário;;
1905/000149;SSO - Parada emergencial de nível menor;;
1905/000150;SSO - Parada emergencial de nível menor;;
1905/000151;SSO - Descarte fora de especificação de água produzida;;
1905/000152;SSO - Queima ou emissão de gás por motivo de emergência;;
1905/000153;SSO - Parada emergencial de nível intermediário;;
1905/000154;SSO - Parada emergencial de nível menor;;
1905/000155;SSO - Quase acidente de alto potencial;;
