COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,,,,
PRODUCCION POR ASIGNACION,,,,,,,,,,,,
Produccion mensual,,,,,,,,,,,,
Datos a enero - 2025.,,,,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd).,,,,,,,,,,,,
El nombre de la asignación corresponde a la última.,,,,,,,,,,,,
"A partir de 2016 se contabiliza la producción de petróleo a una temperatura de 15.56 grados Celsius, de conformidad",,,,,,,,,,,,
con lo establecido en los Lineamientos Técnicos en Materia de Medición de Hidrocarburos.,,,,,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,,,,
Para información geográfica de las asignaciones visite https://mapa.hidrocarburos.gob.mx,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA,ASIGNACION,NOMBRE,UBICACION,CUENCA,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOC_MMPCD,GAS_NASOC_MMPCD,NITROGENO_MMPCD,AGUA_MBD
01/2016,AR-0407,AR-0407 - Campo Benavides,Terrestre,Burgos,0.0,0.0,0.0,11.15306394,0.0,11.15306394,0.034574,0.045392722
01/2016,AR-0409,AR-0409 - Campo Calibrador,Terrestre,Burgos,0.0,0.0,0.0,4.213657122,0.0,4.213657122,0.00632,0.00762805
01/2016,AR-0412,AR-0412 - Campo Carretas,Terrestre,Burgos,0.0,0.0,0.0,3.432763903,0.0,3.432763903,0.009268,0.035652016
01/2016,AR-0415,AR-0415 - Campo Corindón,Terrestre,Burgos,0.0,0.0,0.0,15.148125531,0.0,15.148125531,0.012118,0.049459223
01/2016,AR-0418,AR-0418 - Campo Duna,Terrestre,Burgos,0.0,0.0,0.0,5.162613844,0.0,5.162613844,0.00826,0.006965604
01/2016,AR-0434,AR-0434 - Campo Mareógrafo,Terrestre,Burgos,0.0,0.0,0.0,7.167906586,0.0,7.167906586,0.010035,0.004762265
01/2016,AR-0439,AR-0439-M - Campo Murex,Terrestre,Burgos,0.0,0.0,0.0,4.060301881,0.0,4.060301881,0.003654,0.002382193
01/2016,AR-0443,AR-0443 - Campo Peña Blanca,Terrestre,Burgos,0.0,0.0,0.0,7.662850301,0.0,7.662850301,0.069731,0.019722154
01/2016,AR-0455,AR-0455 - Campo Ricos,Terrestre,Burgos,0.0,0.0,0.0,6.710688277,0.0,6.710688277,0.01275,0.019943188
01/2016,AR-0457,AR-0457 - Campo San Bernardo,Terrestre,Burgos,0.0,0.0,0.0,3.590968046,0.0,3.590968046,0.012568,0.00978011
01/2016,AR-0472,AR-0472-M - Campo Jaraguay,Terrestre,Burgos,0.0,0.0,0.0,0.128773032,0.0,0.128773032,0.000167,0.064019127
01/2016,AR-0473,AR-0473-M - Campo China,Terrestre,Burgos,0.0,0.0,0.0,0.699747584,0.0,0.699747584,0.001189,0.003211336
01/2016,AR-0474,AR-0474 - Campo Jabalina,Terrestre,Burgos,0.0,0.0,0.0,0.037872375,0.0,0.037872375,1.8e-05,0.000701475
01/2016,AR-0475,AR-0475 - Campo Río Bravo,Terrestre,Burgos,0.0,0.0,0.0,0.057756017,0.0,0.057756017,5.7e-05,0.0
01/2016,AR-0477,AR-0477-M - Campo Alondra,Terrestre,Burgos,0.0,0.0,0.0,3.704735508,0.0,3.704735508,0.005927,0.038615038
01/2016,AR-0478,AR-0478 - Campo Pípila,Terrestre,Burgos,0.0,0.0,0.0,1.959065489,0.0,1.959065489,0.002742,0.00716836
01/2016,AR-0479,AR-0479-M - Campo Calabaza,Terrestre,Burgos,0.0,0.0,0.0,3.467871888,0.0,3.467871888,0.054792,0.015087042
01/2016,AR-0480,AR-0480 - Campo Carlos,Terrestre,Burgos,0.0,0.0,0.0,1.635689009,0.0,1.635689009,0.002126,0.030263784
01/2016,AR-0481,AR-0481 - Campo Primavera,Terrestre,Burgos,0.0,0.0,0.0,0.878843969,0.0,0.878843969,0.006064,0.001091657
01/2016,AR-0482,AR-0482 - Campo Picadillo,Terrestre,Burgos,0.0,0.0,0.0,2.615241387,0.0,2.615241387,0.006538,0.008831118
01/2016,AR-0483,AR-0483 - Campo Chalupa,Terrestre,Burgos,0.0,0.0,0.0,0.207274319,0.0,0.207274319,0.00029,0.001151964
01/2016,AR-0484,AR-0484-M - Campo Lobo,Terrestre,Burgos,0.0,0.0,0.0,0.463863393,0.0,0.463863393,0.001716,0.003003918
01/2016,AR-0485,AR-0485 - Campo Pame,Terrestre,Burgos,0.0,0.0,0.0,0.797609704,0.0,0.797609704,0.000638,0.001835094
01/2016,AR-0486,AR-0486 - Campo Patriota,Terrestre,Burgos,0.0,0.0,0.0,0.508061106,0.0,0.508061106,0.000253,0.004687596
01/2016,AR-0488,AR-0488 - Campo Ecatl,Terrestre,Burgos,0.0,0.0,0.0,1.588632664,0.0,1.588632664,0.003812,0.054030116
01/2016,AR-0490,AR-0490 - Campo Granaditas,Terrestre,Burgos,0.0,0.0,0.0,1.455149846,0.0,1.455149846,0.002182,0.004700365
01/2016,AR-0491,AR-0491 - Campo Fósil,Terrestre,Burgos,0.0,0.0,0.0,0.338903739,0.0,0.338903739,0.000915,0.004047386
01/2016,AR-0492,AR-0492 - Campo Casta,Terrestre,Burgos,0.0,0.0,0.0,0.311886982,0.0,0.311886982,0.000187,0.0
01/2016,AR-0493,AR-0493 - Campo Ita,Terrestre,Burgos,0.0,0.0,0.0,0.130351561,0.0,0.130351561,0.000338,0.002862194
01/2016,AR-0494,AR-0494 - Campo Fitón,Terrestre,Burgos,0.0,0.0,0.0,0.161341008,0.0,0.161341008,0.000322,0.000224846
01/2016,AR-0496,AR-0496 - Campo Rusco,Terrestre,Burgos,0.0,0.0,0.0,2.645803385,0.0,2.645803385,0.015874,0.141624705
01/2016,AR-0499,AR-0499 - Campo Organdí,Terrestre,Burgos,0.0,0.0,0.0,0.203640447,0.0,0.203640447,0.000224,0.01108784
01/2016,AR-0501,AR-0501 - Campo Bragado,Terrestre,Burgos,0.0,0.0,0.0,0.341138587,0.0,0.341138587,0.002626,0.047071618
