COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,
POZOS TERMINADOS,,,,,
,,,,,
Datos a diciembre - 2024.,,,,,
,,,,,
FECHA,CUENCA,CATEGORIA_POZO,UBICACION,OPERADOR,POZOS_TERMINADOS
12/2003,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,14
12/2003,Tampico-Misantla,Exploración,Aguas someras,Pemex Exploración y Producción,2
12/2003,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,4
12/2003,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,3
01/2004,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,36
01/2004,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,3
01/2004,Cinturón Plegado de Chiapas,Desarrollo,Terrestre,Pemex Exploración y Producción,1
01/2004,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,3
01/2004,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,5
01/2004,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,1
01/2004,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,8
01/2004,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,1
01/2004,Veracruz,Exploración,Aguas someras,Pemex Exploración y Producción,1
02/2004,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,31
02/2004,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,3
02/2004,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,4
02/2004,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,1
02/2004,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,3
02/2004,Sabinas-Burro-Picachos,Exploración,Terrestre,Pemex Exploración y Producción,2
02/2004,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,9
02/2004,Tampico-Misantla,Exploración,Aguas someras,Pemex Exploración y Producción,1
02/2004,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,3
02/2004,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,2
03/2004,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,33
03/2004,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,4
03/2004,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
03/2004,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,6
03/2004,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,4
03/2004,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,9
03/2004,Tampico-Misantla,Exploración,Aguas someras,Pemex Exploración y Producción,1
03/2004,Tampico-Misantla,Exploración,Aguas someras,Pemex Exploración y Producción,1
03/2004,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,2
03/2004,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,1
04/2004,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,35
04/2004,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,2
04/2004,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,2
04/2004,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,3
04/2004,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,2
04/2004,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,2
04/2004,Golfo de México Profundo,Exploración,Aguas profundas,Pemex Exploración y Producción,1
04/2004,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,13
04/2004,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,4
04/2004,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,1
05/2004,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,39
05/2004,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,3
05/2004,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,3
